school_id,Potential_School_Name_transliterated,Assigned_District_Name
169,hamAlaya ni mA viA vi,ilama
170,pUrNasmAraka mA vi,ilama
171,janakalyANa prA vi,ilama
172,sarasvatI u mA vi,ilama
173,rAShTapremI u mA vi,ilama
174,vAlakanyA ni mA viA vi,ilama
175,yuvAvarSha prA vi,ilama
176,tribhuvana prA vipa~nchakanyA ilAma,ilama
177,amara jyotI A vi,ilama
178,maheshvarA ni mA viA vi,ilama
179,deumAI A vi,ilama
180,sUryodaya A vi,ilama
181,bAla kalyANa A vi,ilama
182,jAlpA prA vi,ilama
183,nArAyaNa A vi,ilama
184,sarasvatI prA vi,ilama
185,bhagavatI A vi,ilama
186,jAlapA ni mA viA vi,ilama
187,kamala devI A vi,ilama
188,phalATe mA vi,ilama
189,vAlamaNDala u mA vi,ilama
190,vAlmikI siMhadevI A vi,ilama
191,janatA mA vi,ilama
192,thokaphelA prA vi,ilama
193,nArAyaNa jana mA vi,kathamadaum
194,viNApANI mA vi,ilama
195,bA.NjhogAu.N mA vi,ilama
196,siddha devI prA vi,ilama
197,siddhadeumAI ni mA viA vi,ilama
198,Dambara devI mA vi,ilama
199,mAhendra mA vi,tanahu.n
200,nArAyaNAchaura prA vi,tanahu.n
201,sallerI prA vi,ilama
202,janatA prA vi,ilama
203,siMhadevI mA vi,ilama
204,bhRRikuTI mA vi,tanahu.n
205,janasahayogI mA vi,tanahu.n
206,dullabha mA vi,gorakha
207,jIvana jyoti mA vi,gorakha
208,hirAmaNi A vi,tanahu.n
209,chisopAnI mA vi,ilama
210,janatA jAyasavAla mA vi,dhanusha
211,mA vi,dhanusha
212,buddhashAnti mA vi,chitavana
213,bashAhAsthAna mA vi,tanahu.n
214,Anandajyoti mA vi,kaski
215,lakShmI ni mA viA vi,tanahu.n
216,gorakha A vi,ilama
217,siMhaAdarsha prA vi,ilama
218,pyA~Nga mA vi,ilama
219,jyoti prA vi,ilama
220,mAhendrI u mA vi,tanahu.n
221,annapUrNa mA vi,gorakha
222,amarakalyANa mA vi,ilama
223,kapiyA u mA vi,chitavana
224,ratnarAjya mA vi,kathamadaum
225,niranajanA prA vi,doti
226,birendra u mA vi,nuvakota
227,amRRita A vi,tanahu.n
228,shAntipura mA vi,ilama
229,kailAsha prA vi,ilama
230,chaNiDakA prA vi,tanahu.n
231,indradevI ni mA viA vi,tanahu.n
232,rA prA vi,chitavana
233,kAligaMgA mA vi,tanahu.n
234,aruNodaya A vi,ilama
235,bAlakesha mA vi,tanahu.n
236,nArAyaNa prA vi,tanahu.n
237,amara prA vi,tanahu.n
238,bhimasuna A vi,ilama
239,shivamAI mA vi,ilama
240,guru~NagAuM prA vi,ilama
241,kankAI mA vi,ilama
242,lAlIgurA.Nsa prA vi,khota~na
243,kamala prA vi,tanahu.n
244,kRRiShNAlaya A vi,tanahu.n
245,prabodha mA vi,ilama
246,janajyotI A vi,khota~na
247,kAmadhenu mA vi,kathamadaum
248,A vi,dhanusha
249,gorkhA kAlikA A vi,tanahu.n
250,kAlikA A vi,chitavana
251,pArvatI A vi,khota~na
252,mA vi,ilama
253,Adarsha shikShA mA vi,tanahu.n
254,chanrdodaya prA vi,tanahu.n
255,pRRithvI u mA vi,khota~na
256,mahendrodaya mA vi,khota~na
257,sarasvatI ni mA viA vi,khota~na
258,jana vikAsa prA vi,khota~na
260,bauddha A vi,khota~na
261,deurAlI u mA vi,khota~na
262,janatA mA vi,siraha
263,sarasvatI prA vi,tanahu.n
264,shAnti prA vi,tanahu.n
265,kRRiShNa u mA vi,tanahu.n
266,jana kalyANA prA vi,mana~na
267,ghATaveshI A vi,gorakha
268,shikhara jyoti prA vi,gorakha
269,chaNDikA A vi,gorakha
270,amara ni mA viA vi,tanahu.n
271,shaMkara prA vi,tanahu.n
272,nayA.N jyoti prA vi,tanahu.n
273,jaladevI mA vi,tanahu.n
274,pelu~Na prA vi,khota~na
275,janatA mA vi,khota~na
276,mahendra jyotI mA vi,tanahu.n
277,chaNDI niketana prA vi,khota~na
278,sAsu niketana prA vi,khota~na
279,nava jyoti prA vi,doti
280,mahendra mA vi,tanahu.n
281,jaladevI A vi,purva navalaparasi
282,ratna jyotI A vi,tanahu.n
