school_id_a,school_id_b
5,42161.0
11,42659.0
25,41719.0
26,42161.0
27,434.0
34,43227.0
35,434.0
44,43227.0
51,4900.0
63,4256.0
74,441.0
75,42446.0
102,4391.0
112,41995.0
113,44044.0
114,42161.0
116,43400.0
119,466.0
121,41385.0
122,42146.0
124,41120.0
125,434.0
133,4839.0
134,42161.0
142,41822.0
145,43997.0
146,42637.0
152,4256.0
199,42146.0
204,42446.0
208,43997.0
213,4410.0
220,42146.0
227,4110.0
230,4827.0
233,42161.0
237,434.0
243,42150.0
244,42255.0
249,42637.0
253,42161.0
254,4175.0
270,42446.0
271,434.0
273,42146.0
282,43251.0
286,23764.0
288,434.0
291,42446.0
293,44044.0
294,434.0
304,434.0
308,43576.0
313,44013.0
315,42146.0
317,42161.0
322,42161.0
323,434.0
324,42446.0
325,41925.0
327,44059.0
331,42161.0
335,434.0
341,42146.0
343,41514.0
346,44066.0
347,44139.0
349,43988.0
351,43877.0
352,42828.0
353,43752.0
357,44044.0
359,466.0
362,42161.0
366,4725.0
367,44326.0
368,44172.0
369,42084.0
370,41057.0
372,4210.0
373,41687.0
381,43227.0
383,42161.0
384,44076.0
387,434.0
388,434.0
391,41382.0
393,4821.0
394,434.0
395,43227.0
398,44044.0
399,4175.0
401,44044.0
403,4412.0
406,43227.0
407,42084.0
409,4391.0
410,43536.0
415,42637.0
418,44013.0
421,42084.0
423,42161.0
424,4391.0
426,4813.0
428,43227.0
429,43227.0
430,44044.0
431,4391.0
432,44441.0
434,434.0
435,466.0
437,42146.0
440,42446.0
442,42737.0
444,4227.0
445,4391.0
447,434.0
448,44044.0
452,44044.0
453,44045.0
455,41762.0
461,4792.0
462,43227.0
467,43912.0
470,43538.0
471,42161.0
473,43227.0
474,43988.0
476,42146.0
477,44282.0
478,4391.0
480,43227.0
484,4807.0
486,44326.0
530,24455.0
800,63358.0
932,23765.0
962,56406.0
963,51226.0
964,51019.0
966,53787.0
969,52208.0
977,54748.0
983,55437.0
985,52024.0
986,56245.0
995,5558.0
1005,55044.0
1007,55863.0
1012,52135.0
1014,53800.0
1015,52220.0
1020,55343.0
1022,51245.0
1039,55758.0
1043,51225.0
1047,55074.0
1051,55471.0
1053,55334.0
1054,55437.0
1072,55632.0
1081,54227.0
1082,52369.0
1203,51484.0
1204,56267.0
1213,52211.0
1222,55706.0
1227,55862.0
1230,51912.0
1240,55969.0
1241,54825.0
1242,54825.0
1243,51245.0
1259,55471.0
1287,54828.0
1288,55712.0
1298,51123.0
1302,23765.0
1305,51756.0
1315,5839.0
1321,54703.0
1332,53642.0
1333,51192.0
1350,52565.0
1369,55437.0
1375,52024.0
1376,52140.0
1377,53888.0
1378,52813.0
1379,551.0
1392,55471.0
1460,24455.0
1525,21613.0
1578,53532.0
1579,55513.0
1584,51290.0
1588,55334.0
1589,51192.0
1609,54300.0
1610,5423.0
1620,55715.0
1634,53597.0
1639,52878.0
1644,52211.0
1653,72375.0
1654,74360.0
1658,55239.0
1669,51783.0
1672,51798.0
1675,55028.0
1680,53787.0
1682,54870.0
1697,55863.0
1707,51110.0
1708,52356.0
1709,54703.0
1712,52024.0
1720,53553.0
1723,55654.0
1915,55437.0
1925,54055.0
1926,52333.0
1927,54870.0
1930,56406.0
1949,55471.0
1959,51245.0
1968,56194.0
1969,5690.0
2003,55901.0
2008,52333.0
2016,53823.0
2024,51804.0
2060,5593.0
2064,55384.0
2065,5423.0
2085,51528.0
2086,55668.0
2108,54870.0
2251,52283.0
2294,54055.0
2302,55183.0
2303,51775.0
2305,52135.0
2306,51506.0
2314,55348.0
2316,5843.0
2317,55667.0
2318,5244.0
2323,51192.0
2325,55471.0
2340,55471.0
2349,51528.0
2350,53776.0
2371,55516.0
2389,51067.0
2392,54696.0
2403,52708.0
2404,52369.0
2421,55606.0
2426,23764.0
2430,53778.0
2445,53677.0
2452,52604.0
2473,51264.0
2480,55706.0
2485,51812.0
2493,5733.0
2501,53584.0
2570,23765.0
2596,5185.0
2606,71499.0
2615,74042.0
2616,73887.0
2619,73749.0
2636,7527.0
2637,74265.0
2638,73966.0
2639,74265.0
2646,7334.0
2650,73966.0
2658,73000.0
2667,73887.0
2672,71499.0
2686,54560.0
2702,73966.0
2708,74042.0
2718,71499.0
