school_id_A,school_id_B,root_school_name_A,root_school_old_name1_B,school_level_A,school_level_old_name1_B,district_A,district_B,Fuzzy_match_score,Match_Type
13319,25128,tribhuvana hanumana,tribhuwan hanuman,mavi,mavi,parsa,parsa,3.0,"District: complete, School level: complete, Root name: complete"
13321,14606,pashupati,pashupati,pravi,pravi,dhankuta,dhankuta,3.0,"District: complete, School level: complete, Root name: complete"
13324,31965,gaumati,gaumati,mavi,mavi,sindhuli,sindhuli,3.0,"District: complete, School level: complete, Root name: complete"
13362,55789,siddhartha,siddhartha,mavi,mavi,nawalparasi,nawalparasi,3.0,"District: complete, School level: complete, Root name: complete"
13372,1620,bhagavati,bhagawati,pravi,pravi,dhankuta,dhankuta,3.0,"District: complete, School level: complete, Root name: complete"
13373,16113,janapriya,jana priya,mavi,mavi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
13410,14533,pamchami,panchami,pravi,pravi,dhankuta,dhankuta,3.0,"District: complete, School level: complete, Root name: complete"
13426,653,ananda,ananda,mavi,mavi,surkhet,surkhet,3.0,"District: complete, School level: complete, Root name: complete"
13430,61333,janata,janata,nimavi,nimavi,jajarkot,jajarkot,3.0,"District: complete, School level: complete, Root name: complete"
13470,24839,vijayavasti,vijayabasti,mavi,mavi,parsa,parsa,3.0,"District: complete, School level: complete, Root name: complete"
13479,13311,lala bauddha,lal bouddha,pravi,pravi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
13541,61153,janakalyana,jana kalyan,pravi,pravi,surkhet,surkhet,3.0,"District: complete, School level: complete, Root name: complete"
13545,44485,tri shahida,tri sahid,mavi,mavi,syangja,syangja,3.0,"District: complete, School level: complete, Root name: complete"
13572,44051,righa phedi,righa phedi,pravi,pravi,baglung,baglung,3.0,"District: complete, School level: complete, Root name: complete"
13590,32671,janajagrrita,jana jagrit,pravi,pravi,nuwakot,nuwakot,3.0,"District: complete, School level: complete, Root name: complete"
13616,53882,nava durga,nawa durga,pravi,pravi,nawalparasi,nawalparasi,3.0,"District: complete, School level: complete, Root name: complete"
13649,35210,pratibha,pratibha,avi,avi,makwanpur,makwanpur,3.0,"District: complete, School level: complete, Root name: complete"
13707,44009,pandavakhani,pandav khani,pravi,pravi,baglung,baglung,3.0,"District: complete, School level: complete, Root name: complete"
13746,16016,buddha,buddha,mavi,mavi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
13763,16126,janata,janata,avi,avi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
13766,43813,bhrrikuti,bhrikuti,mavi,mavi,baglung,baglung,3.0,"District: complete, School level: complete, Root name: complete"
13780,16101,janapriya,jana priya,avi,avi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
13784,16076,himalaya,himalaya,mavi,mavi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
13788,14731,phorche,phorche,pravi,pravi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
13794,15119,rudra,rudra,pravi,pravi,dhankuta,dhankuta,3.0,"District: complete, School level: complete, Root name: complete"
13795,6137,bala kalyana,bal kalyan,pravi,pravi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
13800,12344,janajagrriti,jana jagriti,pravi,pravi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
13827,33164,kalika,kalika,pravi,pravi,dhading,dhading,3.0,"District: complete, School level: complete, Root name: complete"
13857,55085,shahida lakhanatha,shahid lakhan thapa,pravi,pravi,palpa,palpa,3.0,"District: complete, School level: complete, Root name: complete"
13865,44160,shiddhababa,siddha baba,pravi,pravi,parbat,parbat,3.0,"District: complete, School level: complete, Root name: complete"
13874,62124,narayana,narayan,avi,avi,dailekh,dailekh,3.0,"District: complete, School level: complete, Root name: complete"
13896,44292,srrijana,srijana,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
13912,24849,shanti sirjana,shanti srijana,pravi,pravi,parsa,parsa,3.0,"District: complete, School level: complete, Root name: complete"
13931,36357,chetpu,chetpu,pravi,pravi,dolakha,dolakha,3.0,"District: complete, School level: complete, Root name: complete"
13932,2327,baba baidhanatha,baba vaidhnath,pravi,pravi,parsa,parsa,3.0,"District: complete, School level: complete, Root name: complete"
13944,35719,sarasvati,saraswati,avi,avi,sindhuli,sindhuli,3.0,"District: complete, School level: complete, Root name: complete"
13959,21423,janata,janata,mavi,mavi,sarlahi,sarlahi,3.0,"District: complete, School level: complete, Root name: complete"
13971,52316,janasevi,janasewi,pravi,pravi,bardiya,bardiya,3.0,"District: complete, School level: complete, Root name: complete"
13974,33202,kalika,kalika,mavi,mavi,bhaktapur,bhaktapur,3.0,"District: complete, School level: complete, Root name: complete"
13997,63289,nepala rashtriya,nepal rastriya,mavi,mavi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
14000,54944,sarasvati,saraswati,pravi,pravi,dang,dang,3.0,"District: complete, School level: complete, Root name: complete"
14039,5431,bala kalyana,bal kalyan,avi,avi,rolpa,rolpa,3.0,"District: complete, School level: complete, Root name: complete"
14044,56071,subhadra janata,subhadra janata,avi,avi,kapilbastu,kapilbastu,3.0,"District: complete, School level: complete, Root name: complete"
14077,1767,bhimasenasthana,bhimsensthan,mavi,mavi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
14079,14318,niketana,niketan,mavi,mavi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
14108,11507,durga,durga,mavi,mavi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
14140,16336,ranitara,ranitar,mavi,mavi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
14159,15179,sagaramatha,sagarmatha,mavi,mavi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
14165,16190,khandru~nga,khandrung,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
14167,12860,jivana jyoti,jivan jyoti,mavi,mavi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
14176,16199,lali gurasa,laligurans,pravi,pravi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
14177,16529,srrijana,shrijana,pravi,pravi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
14184,5791,bhimasena,bhimsen,mavi,mavi,rolpa,rolpa,3.0,"District: complete, School level: complete, Root name: complete"
14219,15389,sarasvati,saraswati,mavi,mavi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
14223,15506,sarasvati,saraswati,mavi,mavi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
14237,16023,chamunde,chamunde,mavi,mavi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
14249,16613,siddakali,siddha kali,pravi,pravi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
14264,15751,shantikshetra,shanti kshetra,pravi,pravi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
14266,16218,jate,jante,mavi,mavi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
14269,15608,sarvajanika,sarbajanik,avi,avi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
14271,24293,ddharika shrilala satani yadava,dwarika shreelal satni yadav,mavi,mavi,saptari,saptari,3.0,"District: complete, School level: complete, Root name: complete"
14302,13267,krrishna,krishna,nimavi,nimavi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
