school_id_A,school_id_B,root_school_name_A,root_school_old_name1_B,school_level_A,school_level_old_name1_B,district_A,district_B,Fuzzy_match_score,Match_Type
14463,23140,ra,barahi,pravi,pravi,saptari,saptari,2.0,"District: complete, School level: complete, Root name: partial"
14462,15788,ra,sarada,mavi,mavi,saptari,bhojpur,1.5,"District: no match, School level: complete, Root name: partial"
14464,13244,shikshaniketana,koshi janata,mavi,mavi,sunsari,sunsari,2.0,"District: complete, School level: complete, Root name: partial"
14465,12434,janasahayoga,jana sahayog,mavi,pravi,sunsari,khotang,2.0,"District: no match, School level: no match, Root name: complete"
14468,515,,,pravi,,dang,dang,2.5,"District: complete, School level: no match, Root name: complete"
14467,32517,rupti~nadebi,indira devi,pravi,pravi,dhading,dhading,2.0,"District: complete, School level: complete, Root name: partial"
14469,52175,janachetana,janachetana,mavi,mavi,bardiya,bardiya,3.0,"District: complete, School level: complete, Root name: complete"
14472,24723,rashtriya,rastriya,avi,avi,saptari,sarlahi,2.5,"District: no match, School level: complete, Root name: complete"
14473,12476,j~nana jyoti,janajyoti,avi,avi,sunsari,okhaldhunga,2.5,"District: no match, School level: complete, Root name: complete"
14474,14503,pamchayata ra ja,pancha kanya,pravi,pravi,sunsari,sunsari,2.0,"District: complete, School level: complete, Root name: partial"
14476,54429,pragati,pragati,avi,avi,bardiya,bardiya,3.0,"District: complete, School level: complete, Root name: complete"
14475,21371,pablika,malhaniya,avi,avi,saptari,saptari,2.0,"District: complete, School level: complete, Root name: partial"
14478,16338,rashtriya,rastriya,pravi,mavi,saptari,taplejung,2.0,"District: no match, School level: no match, Root name: complete"
14477,12677,sudanavati devilala phulamanti janata,janata belaka  purandaha,mavi,mavi,saptari,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
14479,21500,rashtriya visheshvara vairagi,janata rastriya  shripur jabdi,avi,avi,saptari,saptari,2.0,"District: complete, School level: complete, Root name: partial"
14480,14948,r,ram,pravi,pravi,sunsari,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
14481,21124,shri ra ja,ha pr sa,mavi,mavi,siraha,siraha,2.0,"District: complete, School level: complete, Root name: partial"
14482,23140,ra,barahi,pravi,pravi,saptari,saptari,2.0,"District: complete, School level: complete, Root name: partial"
14483,55544,kumbhara,kumbhar,pravi,pravi,bardiya,bardiya,3.0,"District: complete, School level: complete, Root name: complete"
14485,14950,ramadhuni,ram dhuni u,mavi,mavi,sunsari,sunsari,2.0,"District: complete, School level: complete, Root name: partial"
14487,15511,sarasvati,saraswati,mavi,mavi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
14486,12112,pablika,jabdi,mavi,mavi,sunsari,sunsari,2.0,"District: complete, School level: complete, Root name: partial"
14490,51619,gura.nsa namuna,gurans namuna,mavi,mavi,bardiya,bardiya,3.0,"District: complete, School level: complete, Root name: complete"
14489,15510,sarasvati,saraswati,mavi,mavi,bardiya,sankhuwasabha,2.5,"District: no match, School level: complete, Root name: complete"
14492,12952,kalika,kalika,pravi,pravi,kalikot,sunsari,2.5,"District: no match, School level: complete, Root name: complete"
14491,51400,munala,faguna,pravi,pravi,bardiya,bardiya,2.0,"District: complete, School level: complete, Root name: partial"
14493,36765,jana jyoti,ratna jyoti,mavi,mavi,bardiya,makwanpur,2.5,"District: no match, School level: complete, Root name: complete"
14494,16338,rashtiya,rastriya,mavi,mavi,sunsari,taplejung,2.5,"District: no match, School level: complete, Root name: complete"
14495,16338,rashtriya,rastriya,pravi,mavi,saptari,taplejung,2.0,"District: no match, School level: no match, Root name: complete"
14498,5178,amara shahida shri dasharathachanda,amar shahid shree dasharath chand  rajapur,mavi,mavi,bardiya,bardiya,2.0,"District: complete, School level: complete, Root name: partial"
14499,12704,harinagara,janata,mavi,mavi,sunsari,sunsari,2.0,"District: complete, School level: complete, Root name: partial"
14500,137,jagadamvika ne ra,adarsha  apraha,pravi,pravi,bardiya,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
14501,11090,bhadagau.n sinuvari namuna,chandra sanskrit u,mavi,mavi,sunsari,sunsari,2.0,"District: complete, School level: complete, Root name: partial"
14502,21773,vi pi smaraka pablika,keshav smarak ja,mavi,mavi,saptari,saptari,2.0,"District: complete, School level: complete, Root name: partial"
14503,2650,shri mahendra,chandra,mavi,mavi,saptari,saptari,2.0,"District: complete, School level: complete, Root name: partial"
14506,1480,sitala mahila,bal kalyan,avi,avi,bardiya,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
14507,1411,bhakhajora,bal mukhi  ajgar,pravi,pravi,udayapur,udayapur,2.0,"District: complete, School level: complete, Root name: partial"
14508,16338,rashtiya,rastriya,pravi,mavi,saptari,taplejung,2.0,"District: no match, School level: no match, Root name: complete"
14511,2650,chandra,chandra,mavi,mavi,saptari,saptari,3.0,"District: complete, School level: complete, Root name: complete"
14510,2604,vi pi janata,bp janata,avi,avi,saptari,saptari,2.0,"District: complete, School level: complete, Root name: partial"
14513,14932,rajarani,raja rani,pravi,pravi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
14516,21430,janata ra,janata mukunda,nimavi,nimavi,saptari,saptari,2.0,"District: complete, School level: complete, Root name: partial"
14517,12690,janata,janta,mavi,mavi,saptari,morang,2.5,"District: no match, School level: complete, Root name: complete"
14518,12639,janata,janta,avi,avi,siraha,ilam,2.5,"District: no match, School level: complete, Root name: complete"
