school_id_a,school_id_b,match_score,school_name_a,school_name_b,district_id_a,district_a,district_b
25130,16341,70.32967032967032,"नुनसरी आधारभूत विद्यालय, मोरङ","Shree Ratna Basic School, Sunawarshi-1, Morang",6,मोरङ,morang
25344,21763,70.27027027027026,"आधारभूत विद्यालय चतरी, सिरहा",Kanya Aadharbhut Vidyalay,19,सिराहा,siraha
25397,11949,73.97260273972603,"हिमालय आधारभूत विद्यालय, इलाम",Himalaya Aadharbhut vidhyalaya,3,इलाम,ilam
25771,54489,71.23287671232876,"पुर्णहिरा माध्यमिक विद्यालय, बर्दिया",Purnahira Secondary School,58,बर्दिया,bardiya
26164,41359,72.46376811594203,"ल्हो आधारभूत विद्यालय, गोरखा",Gorakhkali Adharbhut Vidyalaya,37,गोरखा,gorkha
26175,41702,72.22222222222221,"ज्योति आधारभूत विद्यालय, बाग्लुङ",Jana Jyoti Adharbhut Vidyalaya,36,बागलुङ,baglung
26182,1635,71.42857142857143,"मोती आधारभूत विद्यालय, झापा",Bhagawati Basic School,4,झापा,jhapa
26232,61283,72.0,जनमुखी आधारभूत विद्यालय सल्यान,Janakalyan Basic School,66,सल्यान,salyan
26498,11949,70.4225352112676,"भिसुन आधारभूत विद्यालय, इलाम",Himalaya Aadharbhut vidhyalaya,3,इलाम,ilam
26552,13223,71.28712871287128,"किरात साम्जिक मुन्धुम आधारभूत विद्यालय, इलाम",Kirat Samjik Mundhum Aadharbhut Vidhyalaya,3,इलाम,ilam
26565,52116,70.27027027027026,जनज्योति आधारभूत विद्यालय वर्दिया,Jana Priya BASIC SCHOOL,58,बर्दिया,bardiya
26600,11949,71.23287671232876,राष्टिय आधारभूत विद्यालय इलाम,Himalaya Aadharbhut vidhyalaya,3,इलाम,ilam
26709,11949,73.52941176470588,माबु आधारभूत विद्यालय इलाम,Himalaya Aadharbhut vidhyalaya,3,इलाम,ilam
27020,51813,74.35897435897436,"हिमालय माध्यमिक विद्यालय, रोल्पा",Himalaya Phoolbari Madhyamik Vidyalaya,55,रोल्पा,rolpa
27115,61283,70.4225352112676,"इन्द्र आधारभूत विद्यालय, सल्यान",Janakalyan Basic School,66,सल्यान,salyan
27513,5560,70.0,"प्रगति आधारभूत विद्यालय, पाल्पा",Balkanya Bhagawati Adharbhut Vidyalaya,52,पाल्पा,palpa
27581,22626,70.08547008547008,"मुनरी राष्ट्रिय आधारभूत विद्यालय, भटौलिया महोत्तरी",Munari Rastriya Aadharbhut Vidhalaya Bhatauliya,22,महोत्तरी,mahottari
27686,63424,70.27027027027026,"सिद्ध आधारभूत विद्यालय, सल्यान",Siddha Adharbhut Vidyalaya,66,सल्यान,salyan
