aims educational academy arjundhara,0,4,aims educational academy arjundhara,aims educational academy,arjundhara napa
aishworya,2,3,,,maijogmai rural napa
aitabare,1,9,aitabare avi,aitabare avi,panchakhapan napa
aitabare ni ma,0,1,,,salpasilichho rural napa
aitabare,2,9,,,panchakhapan napa
aitabare,2,1,,,bhojpur napa
ajajiya madarasa,1,6,ajajiya madrassa,,ratuwamai napa
ak montessori vi,0,11,,,barahkshetra napa
akash devi,2,5,akash devi pravi,,jantedhunga rural napa
akchewa,1,9,akchewa a viidyalaya,akchewa pravi,makalu rural napa
akshara ebs,0,11,,,itahari sub napa city
al islah ideal vi madarsa,0,11,all islah ideal vi madarssa,,harinagar rural napa
al madina madarsa,0,4,,,kachankawal rural napa
alember,2,6,alember pravi,,letang napa
alfalah public ma vi,0,11,madrassa allfalaha public vi,madrassa allfalaha public scool,koshi rural napa
ali public vi,0,11,,,harinagar rural napa
allied ebs,0,4,elite ebs,,damak napa
alpha academy,0,11,,,dharan sub napa city
alpha beta ebs,0,11,,,barju rural napa
alpine ebs,0,11,,,ramdhuni napa
alpine international model sec vi,0,11,,,dharan sub napa city
amaduwa pharma,1,11,amaduwa pharma pravi,,barju rural napa
amar english ma ebs,0,6,shree amar english ma boarding vi,amar english ma boarding vi,belbari napa
amar jyoti,1,6,amar jyoti pravi,,sundarharaincha napa
amar,2,4,,,mechinagar napa
amar,2,11,amar pravi,,dharan sub napa city
amar sahid,1,9,amar sahid pravi,,dharmadevi napa
amar sahid,2,5,,,ainselukharka rural napa
amar ma vi,0,4,amar ma vi,,gauradaha napa
amar ma vi,0,4,amar avi,,gauradaha napa
amar shanti srijana,3,11,,,inaruwa napa
amar singh,1,13,amar singh a viiddyala,amar singh avi,phedap rural napa
amar singh,2,4,amar singh pravi,,jhapa rural napa
amar singh ma vi,0,6,amar singh ma vi,,pathari shanishchare napa
amaramarlaxmi i,0,6,amar laxmi pravi,,rangeli napa
amardaha children public ebs,0,6,,,sunawarshi napa
amarhart memorial ebs,0,6,amarhart memorial ebs,,letang napa
amarjyoti,1,3,amarjyoti avi,,ilam napa
amarkalyan ma vi,0,3,amarkalyan ma vi,amarkalyan ma vi,maijogmai rural napa
amarsingh,1,9,,,silichong rural napa
amarsmriti,1,12,amarsmriti pravi,,phungling napa
amaruwa uchha ma vi,0,9,,,dharmadevi napa
ambar,1,6,ambar avi,ambar pravi,katahari rural napa
ambassador ebs,0,12,,,sirijangha rural napa
ambebar janta ma vi,0,14,ambebar janata uchha ma vi,,triyuga napa
ambegudin,1,12,ambegudin avi,ambegudin pravi,sirijangha rural napa
ambegudin ma vi,0,12,aambegudin ma vi,ambegudin ma vi,sirijangha rural napa
ambika,1,12,ambika nimavi,,sidingba rural napa
ambition academy,0,4,jupiter ebs,,buddhashanti rural napa
ambote,1,12,ambote pravi,,aathrai tribeni rural napa
amity international vi,0,6,,,biratnagar napa city
amity public vi,0,4,amity public ebs,,mechinagar napa
amity ma vi,0,4,adarsha sishu ebs,,birtamod napa
amlise bhanjyang,1,3,amlise bhanjyang a via,amlise bhanjyang pravi,mai napa
amlishe,2,3,amlishe pravi,,suryodaya napa
amma academy,0,6,,,pathari shanishchare napa
