School_level_transliterated,School_name_transliterated,Potential_district_transliterated,Location_1_transliterated,Matched_District
4,janasahayoga,gulmi,,Gulmi
4,mahendra adarsha,lalitapura,imadola,Lalitpur
2,balamandira,bajha~na,,Bajhang
2,bartha pali,Bara,,Bara
4,sarasvati,jhapa,lakhanapura,Jhapa
4,malika,bajura,martadi,Bajura
2,lakshmi rashtiya,ilama,,Ilam
2,ra,chitavana,sahapura,Chitwan
2,vi pi,sunasari,,Sunsari
4,jasakhani,gulmi,,Gulmi
1,rashtriya,mahottari,donauli pipara ga pa,Mahottari
2,gayatri,gulmi,,Gulmi
2,kalika,bajha~na,,Bajhang
2,mahadeva,bajha~na,,Bajhang
2,bhagavati,bajha~na,,Bajhang
4,valakumari,lalitapura,sunakothi,Lalitpur
4,janata,kailali,lamkichuha na pa,Kailali
2,navanivana,kailali,,Kailali
4,majakhori,bajha~na,lekagau.n,Bajhang
2,valajyoti,gulmi,pallikota,Gulmi
1,avi,chitavana,jagannathapuri,Chitwan
1,dakshina kalika rashtiya,chitavana,madi,Chitwan
4,janajivna,chitavana,madi,Chitwan
4,ka.nkarabhitta,jhapa,mechinagara ka.nkarabhitta,Jhapa
3,pamchakanya,tehrathuma,,Tehrathum
4,sahida smrriti,sunasari,,Sunsari
1,shahida smrriti,sunasari,itahari,Sunsari
2,sharada vidyamandira,gulmi,,Gulmi
4,runkhadaha,gulmi,,Gulmi
4,ardasha,gulmi,vi digamakota,Gulmi
4,mahendra vidya bodha,arghakha.nchi,balakota,Arghakhanchi
2,bhavani,bajha~na,,Bajhang
1,harimaya ayodhya devi kanya,mahottari,,Mahottari
1,bakhela kumari,lalitapura,,Lalitpur
2,pamcha ratna,Panchthar,,Panchthar
3,malika,kailali,,Kailali
2,yuva varsha,Parsa,,Parsa
4,adinatha,kathamadaum,chaebhara,Kathmandu
2,darlamachaura,gulmi,,Gulmi
2,mahonapala,kailali,,Kailali
3,rashtirraya,kailali,,Kailali
2,jvaladevi,lalitapura,devichaura,Lalitpur
2,rashtiya,saptari,tilathi,Saptari
2,ra,chitavana,hattisude,Chitwan
4,vuddha,lalitapura,champi,Lalitpur
4,ghorle,gulmi,,Gulmi
4,thalara,bajha~na,,Bajhang
2,siddhiganosha,bajha~na,,Bajhang
4,chaudhari,bajha~na,,Bajhang
4,durga mahali~nga,bajha~na,chauka channa,Bajhang
1,janata,sunasari,inaruva,Sunsari
0,vishvanatha pra li bajha~na,Parsa,,Parsa
4,bhagavati,bajha~na,,Bajhang
