School_level_transliterated,School_name_transliterated,Potential_district_transliterated,Location_1_transliterated,Matched_District
2,aruna,tanahu.n,,Tanahun
4,shiva sarasvati,tanahu.n.n,rrishi~na ga pa,Tanahun
1,janapriya,tanahu.n.n,,Tanahun
2,rama,tanahu.n.n,bandipura viruvatara,Tanahun
1,vasanta,tanahu.n.n,,Tanahun
4,harpanakota,kaski,pokhara ma na pa,Kaski
2,deurali,tanahu.n,vahavise,Tanahun
2,mardasha,tanahu.n,,Tanahun
2,balika,tanahu.n,,Tanahun
2,kusmavati,tanahu.n,,Tanahun
4,bala mandira,tanahu.n.n,damauli,Tanahun
3,sarvajyoti,tanahu.n,,Tanahun
2,buddha,tanahu.n.n,varabha~njya~na,Tanahun
4,bajrayogani,tanahu.n.n,devaghata,Tanahun
1,kalika,tanahu.n.n,bhanu na pa,Tanahun
4,rameshvari,kaski,,Kaski
1,pa~nchakanya,tanahu.n.n,,Tanahun
4,gogana,kaski,pokhara lekhanatha,Kaski
2,tamu~na,tanahu.n,,Tanahun
