school_id,school_1,school_id_B,name,district_id,district_id,Matched_District,root_school_name,School_name_transliterated,School_level,school_levels,School_name,Fuzzy_match_score,Match_Type
32,सिंह बाहिनी प्रावि भोजपुर न पा भोजपुर,16712,singha bahini basic school,1,1,bhojpur,singha bahini,simha bahini,प्रावि,avi,सिंह बाहिनी,2.5,"District: complete, School level: no match, Root name: complete"
34,निर्मल प्रावि तनहुँ,42906,nirmal primary school,46,46,tanahun,nirmal,nirmala,प्रावि,pravi,निर्मल,3.0,"District: complete, School level: complete, Root name: complete"
33,जागृती मावि भक्तपुर,12126,jagriti basic school,24,6,bhaktapur,jagriti,jagrriti,मावि,avi,जागृती,2.0,"District: no match, School level: no match, Root name: complete"
35,अन्नपूर्ण प्रावि तनहुँँ,4140,annapurna primary school,46,46,tanahun,annapurna,annapurna,प्रावि,pravi,अन्नपूर्ण,3.0,"District: complete, School level: complete, Root name: complete"
36,सिंह जलेश्वरी निमावि तिवारीभञ्ज्याङ भोजपुर,1758,bhimeshwori aa vi,1,1,bhojpur,bhimeshwori,simha jaleshvari,निमावि,avi,सिंह जलेश्वरी,1.5,"District: complete, School level: no match, Root name: partial"
38,जीवनज्योति मावि इलाम,12360,jana jyoti basic school,3,3,ilam,jana jyoti,jivanajyoti,मावि,avi,जीवनज्योति,2.5,"District: complete, School level: no match, Root name: complete"
37,साङ्गरुम्बा मावि साङ्गरुम्बा इलाम,1207,anshubarma basic school,3,3,ilam,anshubarma,sa~ngarumba,मावि,avi,साङ्गरुम्बा,1.5,"District: complete, School level: no match, Root name: partial"
40,सिंहदेवी आवि इलाम,16573,siddha devi basic school,3,3,ilam,siddha devi,simhadevi,आवि,avi,सिंहदेवी,3.0,"District: complete, School level: complete, Root name: complete"
39,सितला देवी प्रावि तिवारी भञ्जाङ भोजपुर,15850,shitala devi basic school,1,1,bhojpur,shitala devi,sitala devi,प्रावि,avi,सितला देवी,2.5,"District: complete, School level: no match, Root name: complete"
41,विजया आवि आमचोक इलाम,1834,bijaya basic school,3,3,ilam,bijaya,vijaya,आवि,avi,विजया,3.0,"District: complete, School level: complete, Root name: complete"
42,कालिका मावि हेलौछा भोजपुर,12973,kalika basic school,1,1,bhojpur,kalika,kalika,मावि,avi,कालिका,2.5,"District: complete, School level: no match, Root name: complete"
43,आवि कट्टीटोल लगडी गदियानी सिरहा,15080,ravi basic school,19,6,siraha,ravi,avi,आवि,avi,आवि,2.5,"District: no match, School level: complete, Root name: complete"
44,झारगाउ प्रावि तनहुँ,42006,jhargaun basic school,46,46,tanahun,jhargaun,jharagau,प्रावि,avi,झारगाउ,2.5,"District: complete, School level: no match, Root name: complete"
45,ज्योति प्रावि भोजपुर,12911,jyoti pra v,1,1,bhojpur,jyoti,jyoti,प्रावि,pravi,ज्योति,3.0,"District: complete, School level: complete, Root name: complete"
46,ज्याति प्रावि ठुलोदम्मा भोजपुर,12911,jyoti pra v,1,1,bhojpur,jyoti,jyati,प्रावि,pravi,ज्याति,3.0,"District: complete, School level: complete, Root name: complete"
49,पञ्चकन्या आवि याकु कट्टी भोजपुर,14424,pancha kanya aavi,1,1,bhojpur,pancha kanya,pa~nchakanya,आवि,avi,पञ्चकन्या,3.0,"District: complete, School level: complete, Root name: complete"
47,तिम्मा प्रावि भोजपुर,14332,nirmala pra vi,1,1,bhojpur,nirmala,timma,प्रावि,pravi,तिम्मा,2.0,"District: complete, School level: complete, Root name: partial"
51,छिम्केश्वरी प्रावि तनहुँ,4900,chimkeshwori pra v,46,46,tanahun,chimkeshwori,chimkeshvari,प्रावि,pravi,छिम्केश्वरी,3.0,"District: complete, School level: complete, Root name: complete"
50,वाणी मावि सिधराहा मोरङ,1603,beni pra v,6,6,morang,beni,vani,मावि,pravi,वाणी,1.5,"District: complete, School level: no match, Root name: partial"
52,छिम्केश्वरी निमावि तनहुँ,4900,chimkeshwori pra v,46,46,tanahun,chimkeshwori,chimkeshvari,निमावि,pravi,छिम्केश्वरी,2.5,"District: complete, School level: no match, Root name: complete"
53,राष्टि्य निमावि सोयाङ इलाम,15028,rastriya basic school,3,3,ilam,rastriya,rashtiya,निमावि,avi,राष्टि्य,2.5,"District: complete, School level: no match, Root name: complete"
