root_school_name,school_levels,district_id,modified_old_name1,modified_old_name2,modified_local_level
shree medhawi ebs,,6,,,gramthan rural municipality
balbalika smriti,avi,11,balbalika smriti pravi,,ramdhuni municipality
a one quality vi,,6,,,biratnagar metropolitan city
a one montessori,avi,4,,,damak municipality
churumpha,avi,14,nimavi churumpha,,udayapurgadhi rural municipality
murme,avi,14,avi murme,nimavi murme,udayapurgadhi rural municipality
titribote,avi,14,pravi titribote,,belaka municipality
ratmate,avi,14,avi ratmate,nimavi ratmate,triyuga municipality
aadarsha  satpatre,avi,14,,,belaka municipality
aadarsha gyankunja academy,,1,,,bhojpur municipality
aadarsha ma ebs,,6,,,belbari municipality
hardiya dharan sunsari nepal,avi,11,avi hardiya dharan,avi hardiya,dharan sub metropolitan city
aa vi khairaha,,14,pravi khairaha,,chaudandigadhi municipality
bardanda,avi,14,pravi bardanda,,katari municipality
lekhgaun,avi,14,shree avi lekhgaun,pravi lekhgau,tapli rural municipality
aagejung,avi,8,agejung nimavi,,yangwarak rural municipality
aagyansag gumba,pravi,5,aagyansag gumba pravi,,ainselukharka rural municipality
aamgachhi,pravi,4,amgachhi pravi,,gauriganj rural municipality
aanandeshwor gurukul pathsala,,4,,,buddhashanti rural municipality
aapdanda babike,,12,,,sirijangha rural municipality
aarambha vidya mandir,,11,l n memorial model ebs,,ramdhuni municipality
aaramva bal sikshalaya ebs,,4,,,bahradashi rural municipality
aaruni ebs,,4,aaaruni english boarding vi,aruni ebs,kachankawal rural municipality
aasha academy sunsari,,11,,,dharan sub metropolitan city
aashin  koshi rural municipality sunsari,avi,11,aashin pravi,,koshi rural municipality
abacus ebs birtamode,pravi,4,gyan jyoti ebs,,birtamod municipality
abacus ebs,,4,abakash ebs,,birtamod municipality
abha english ma ebs,,6,abha english ma boarding vi,,budhiganga rural municipality
abhijeet dutta,avi,6,abijit dtta pravi,,rangeli municipality
acme academy,,14,,,triyuga municipality
adarniya ma vi,,3,adarniya avi,,sandakpur rural municipality
adarsa,avi,6,adarsa pravi,,sundarharaincha municipality
adarsha ma vi,,4,adarsha uchha ma vi,,buddhashanti rural municipality
adarsha ma vi,,11,adarsha u ma vi,,ramdhuni municipality
adarsha ma vi,,11,adarsha ma vi,adarsha uchha ma vi,barahkshetra municipality
adarsha,avi,4,adarsha pravi,,buddhashanti rural municipality
adarsha,avi,9,adarsha pravi,,makalu rural municipality
adarsha,avi,14,adarsha pravi apraha,,chaudandigadhi municipality
adarsha balika ma vi,,6,adarsha balika ma vi,,biratnagar metropolitan city
adarsha a,,7,adarsha pravi,,khijidemba rural municipality
adarsha,avi,3,adarsha a via,adarsha pravi,mai municipality
adarsha,avi,3,adarsha avi,,ilam municipality
adarsha,avi,3,adarsha pravi,,suryodaya municipality
adarsha,avi,11,adarsha avi,adarsha pravi,bhokraha narsing rural municipality
adarsha,avi,7,adarsha pravi,,siddhicharan municipality
adarsha,avi,12,adarsha pravi,,sirijangha rural municipality
adarsha  chhathar tehrathum,avi,13,adarsha avi chhathar,adarsha pravi,chhathar rural municipality
adarsha,avi,3,adarsha avi,adarsha avi,suryodaya municipality
adarsha buddha,avi,3,adarsha buddha a via,adrasha buddha pravi,mai municipality
adarsha buddha,pravi,3,,,mai municipality
adarsha ebs,,11,,,harinagar rural municipality
adarsha ebs,,6,,,kanepokhari rural municipality
adarsha janata,pravi,4,,,jhapa rural municipality
adarsha ma vi,,6,adarsha avi,,rangeli municipality
adarsha ma vi,,4,,,gauriganj rural municipality
adarsha ma vi,,6,adarsha ma vi,,biratnagar metropolitan city
adarsha milan,pravi,10,,,nechasalyan rural municipality
adarsha namuna ebs,,4,adarsa namuna ebs,,bhadrapur municipality
adarsha niketen ebs,,3,adarsha niketen ebs,,mai municipality
adarsha,pravi,4,,,gauriganj rural municipality
adarsha,pravi,4,,,kachankawal rural municipality
adarsha,pravi,6,,,biratnagar metropolitan city
adarsha,pravi,6,,,sundarharaincha municipality
adarsha,pravi,13,,,myanglung municipality
adarsha,pravi,4,adarsha pravi,,bhadrapur municipality
adarsha ma bidya mandir ratmate pathakgaun,,9,adarsha ma bidya mandir pathakgaun,adarsha bidya mandir ma vi pathakgaun,khandbari municipality
adarsha ma vi,,12,adarsha ma vi,,phaktanglung rural municipality
adarsha ma vi,,3,adarsha ma vi,,ilam municipality
adarsha ma vi,,4,adarsha ma vi,,mechinagar municipality
adarsha ma vi,,2,adarsha ma vi sahidbhumi saphai dhap dhankuta,adarsha uchha ma vi,sahidbhumi rural municipality
adarsha shiksha sadan ebs,,5,adarsashiksha sadan ebs,,diktel rupakot majhuwagadhi municipality
adarsha sikshya niketan,avi,6,adarsha sikshya niketan avi,,gramthan rural municipality
adarsha sikshya sadan,pravi,5,,,diprung chuichumma rural municipality
adarsha sishu,pravi,1,adarsha sishu pravi,,bhojpur municipality
adarsha sita,avi,6,adarsha sita pravi,,pathari shanishchare municipality
adarsha vidya mandir,,4,adarsha bidya mandir ebs,,mechinagar municipality
adarsha vidya mandir ma vi,,4,adarsha vidya mandir ma vi,adarsha bidya mandir ma vi,kanakai municipality
khayarbana,avi,6,,,katahari rural municipality
thakle,avi,14,nimavi thakle,,udayapurgadhi rural municipality
,avi,11,,,duhabi municipality
jahadi simle,avi,14,nimavi jahadi simle,,katari municipality
a janasmriti,pravi,13,,,aathrai rural municipality
a,pravi,2,adarbhut pravi,,chhathar jorpati rural municipality
ghuskeehat,avi,11,nimavi ghuskeehat,,harinagar rural municipality
sishuwa dharampur,avi,11,nimavi sishuwadharampur,,harinagar rural municipality
,avi,11,pravi jalpapur,,inaruwa municipality
,avi,11,avi holaiya,pravi holaiya,gadhi rural municipality
ambote,avi,14,,,limchungbung rural municipality
kanchanbari,avi,6,avi kanchanbari,,biratnagar metropolitan city
lamadi barre,avi,14,,,udayapurgadhi rural municipality
phakshi,avi,9,nimavi phakshi,,dharmadevi municipality
barbhanjyang,avi,14,avi barbhanjyang,,limchungbung rural municipality
aditya star ebs,,11,,,bhokraha narsing rural municipality
advance montessory,,6,,,pathari shanishchare municipality
advanced world academy,,4,,,gauriganj rural municipality
adventist ebs,,4,,,bhadrapur municipality
aekata gyan maithil,pravi,11,,,duhabi municipality
agnikasing  tumbewa,avi,8,agnikasing pravi,,tumbewa rural municipality
ahale,avi,9,ahale nimavi,ahale nimavi,chichila rural municipality
ahale,pravi,6,ahale pr v,ahalepr v,kerabari rural municipality
aims educational academy arjundhara,,4,aims educational academy arjundhara,aims educational academy,arjundhara municipality
aishworya,avi,2,aishworya pravi,aishworya pravi,mahalaxmi municipality
aishworya,pravi,3,,,maijogmai rural municipality
aitabare,avi,9,aitabare avi,aitabare avi,panchakhapan municipality
aitabare ni ma,,1,,,salpasilichho rural municipality
aitabare,pravi,2,,,sahidbhumi rural municipality
aitabare,pravi,2,,,mahalaxmi municipality
aitabare,pravi,9,,,panchakhapan municipality
aitabare,pravi,1,,,bhojpur municipality
ajajiya madarasa,avi,6,ajajiya madrassa,,ratuwamai municipality
ajambari,pravi,2,,,sahidbhumi rural municipality
ak montessori vi,,11,,,barahkshetra municipality
akash devi,pravi,5,akash devi pravi,,jantedhunga rural municipality
akchewa,avi,9,akchewa a viidyalaya,akchewa pravi,makalu rural municipality
akshara ebs,,11,,,itahari sub metropolitan city
al islah ideal vi madarsa,,11,all islah ideal vi madarssa,,harinagar rural municipality
al madina madarsa,,4,,,kachankawal rural municipality
alember,pravi,6,alember pravi,,letang municipality
alfalah public ma vi,,11,madrassa allfalaha public vi,madrassa allfalaha public scool,koshi rural municipality
ali public vi,,11,,,harinagar rural municipality
allied ebs,,4,elite ebs,,damak municipality
alpa devi,avi,8,alpa devi pravi,,kummayak rural municipality
alpha academy,,11,,,dharan sub metropolitan city
alpha beta ebs,,11,,,barju rural municipality
alpine ebs,,11,,,ramdhuni municipality
alpine international model sec vi,,11,,,dharan sub metropolitan city
amaduwa pharma,avi,11,amaduwa pharma pravi,,barju rural municipality
amar deep,avi,8,amar deep a bidhalaya,amar deep nimavi,miklajung rural municipality
amar english ma ebs,,6,shree amar english ma boarding vi,amar english ma boarding vi,belbari municipality
amar jyoti,avi,8,amar jyoti nimavi,,hilihang rural municipality
amar jyoti,avi,6,amar jyoti pravi,,sundarharaincha municipality
amar jyoti,avi,10,amar jyoti avi,,mahakulung rural municipality
amar jyoti,pravi,2,,,chhathar jorpati rural municipality
amar jyoti,pravi,10,amar jyoti avi,,mapya dudhkoshi rural municipality
amar jyoti,pravi,2,amar jyoti pravi,,dhankuta municipality
amar,pravi,4,,,mechinagar municipality
amar,pravi,11,amar pravi,,dharan sub metropolitan city
amar,pravi,2,amar pravi,,sangurigadhi rural municipality
amar sahid,avi,9,amar sahid pravi,,dharmadevi municipality
amar sahid,pravi,5,,,ainselukharka rural municipality
amar ma vi,,4,amar ma vi,,gauradaha municipality
amar ma vi,,4,amar avi,,gauradaha municipality
amar ma vi,,2,amar ma vi,,pakhribas municipality
amar shanti srijana,nimavi,11,,,inaruwa municipality
amar singh,avi,13,amar singh a viiddyala,amar singh avi,phedap rural municipality
amar singh,pravi,4,amar singh pravi,,jhapa rural municipality
amar singh ma vi,,6,amar singh ma vi,,pathari shanishchare municipality
amaramarlaxmi i,,6,amar laxmi pravi,,rangeli municipality
amardaha children public ebs,,6,,,sunawarshi municipality
amarhart memorial ebs,,6,amarhart memorial ebs,,letang municipality
amarjyoti,avi,3,amarjyoti avi,,ilam municipality
amarkalyan ma vi,,3,amarkalyan ma vi,amarkalyan ma vi,maijogmai rural municipality
amarpur ma vi,,8,amarpur uchha ma vi,,hilihang rural municipality
amarsingh,avi,9,,,silichong rural municipality
amarsmriti,avi,12,amarsmriti pravi,,phungling municipality
amaruwa uchha ma vi,,9,,,dharmadevi municipality
ambar,avi,6,ambar avi,ambar pravi,katahari rural municipality
ambassador ebs,,12,,,sirijangha rural municipality
ambebar janta ma vi,,14,ambebar janata uchha ma vi,,triyuga municipality
ambegudin,avi,12,ambegudin avi,ambegudin pravi,sirijangha rural municipality
ambegudin ma vi,,12,aambegudin ma vi,ambegudin ma vi,sirijangha rural municipality
ambika,avi,12,ambika nimavi,,sidingba rural municipality
ambition academy,,4,jupiter ebs,,buddhashanti rural municipality
ambote,avi,12,ambote pravi,,aathrai tribeni rural municipality
amity international vi,,6,,,biratnagar metropolitan city
amity public vi,,4,amity public ebs,,mechinagar municipality
amity ma vi,,4,adarsha sishu ebs,,birtamod municipality
amlise bhanjyang,avi,3,amlise bhanjyang a via,amlise bhanjyang pravi,mai municipality
amlishe,pravi,3,amlishe pravi,,suryodaya municipality
amma academy,,6,,,pathari shanishchare municipality
amrash a via,,10,,,thulung dudhkoshi rural municipality
amrit ma vi,,4,amrit avi,,bahradashi rural municipality
amrit,avi,8,amrit a via,amrit pravi,kummayak rural municipality
amrit ebs,,3,amrit ebs,,chulachuli rural municipality
amurt academy,,11,,,itahari sub metropolitan city
ananda,pravi,6,,,dhanapalthan rural municipality
anandeshwar,avi,7,anandeshwar pravi,,siddhicharan municipality
ananta,pravi,6,,,dhanapalthan rural municipality
ananta,pravi,6,,,katahari rural municipality
ananta sikshya jyoti,pravi,11,,,dharan sub metropolitan city
anantajyoti vidhya mandir ebs,,6,,,katahari rural municipality
anarmani a via,,4,anarmani a bidhalaya,anarmani pravi,birtamod municipality
anarmani liberty vi,,4,,,birtamod municipality
andheri,avi,12,andheri pravi,,mikwakhola rural municipality
angel academy,,4,,,kamal rural municipality
angelica academy,,4,anjelika acadamy,,shivasatakshi municipality
angels kindergarten,,11,,,itahari sub metropolitan city
angepa,avi,12,angepa nimavi,,sidingba rural municipality
anibarya nisulka  takure,avi,2,anibarya nisulka avi,anibarya nisulka pravi,sahidbhumi rural municipality
aniwarya nisulka,avi,2,aniwarya nisulka avi sahidbhumi dhankuta,aniwarya nisulka nimavi,sahidbhumi rural municipality
aniwarya nisulka,avi,2,aniwarya nisulka nimavi,,pakhribas municipality
aniwarya nisulka ma vi,,2,aniwarya nisulka ma vi,aniwarya nisulka ma vi sahidbhumi dhankuta,sahidbhumi rural municipality
annapurna academy morang,,6,annapurna academy,,belbari municipality
annapurna academy p v t ltd,,11,,,ramdhuni municipality
annapurna,avi,9,annapurna pravi,,madi municipality
annapurna  bhalupakwan,avi,14,annapurna pravi bhalupakwan,,rautamai rural municipality
annapurna  bajagara,avi,14,annapurna pravi bajagara,,limchungbung rural municipality
annapurna ebs,,6,annapurna english boarding vi,annapurna english boarding vi ratuwamai morang,ratuwamai municipality
annapurna ebs,,6,annapurna ebs,,pathari shanishchare municipality
annapurna ma vi,,5,annapurna ma vi,,diktel rupakot majhuwagadhi municipality
annapurna  balapipaldanda,pravi,14,,,limchungbung rural municipality
annapurna  dandagaun,pravi,14,,,limchungbung rural municipality
annapurna ma ebs myanglung tehrathum,,13,,,myanglung municipality
annapurna ma vi,,2,annapurna ma vi,,mahalaxmi municipality
annapurna ma vi,,2,annapurna ma vi,annapurna uchha ma vi,pakhribas municipality
annapurna ma vi,,14,merry brood english boarding vi jaljale,,triyuga municipality
anshu academy,,4,anshu academy,duwagadi ansu academy,mechinagar municipality
anshubarma,avi,3,anshubarma pravi,,suryodaya municipality
antarrastriya yuwabarsha,avi,7,antarrastriya yuvabarsha pravi,,siddhicharan municipality
antu academy,,3,,,suryodaya municipality
antu memorial ebs,,3,antu memorial ebs,,chulachuli rural municipality
anwarul islam madrassa,,6,,,biratnagar metropolitan city
apex academy,,10,,,nechasalyan rural municipality
apex academy ebs,,14,,,belaka municipality
apple montessori vi,,11,,,dharan sub metropolitan city
apple tree academy,,11,,,itahari sub metropolitan city
apsani brosis ebs,,2,,,sahidbhumi rural municipality
araniko,avi,12,ariniko pravi,,pathivara yangwarak rural municipality
araniko,avi,4,araniko pravi,araniko pravi,kamal rural municipality
araniko ma via,,4,araniko pravi,,mechinagar municipality
araniko memorial ebs dharan,,11,,,dharan sub metropolitan city
araniko memorial ebs sunwarshi morang,,6,araniko memorial ebs,,sunawarshi municipality
araniko ma ebs myanglung tehrathum,,13,,,myanglung municipality
araniko ma vi,,4,aroniko ma vi,,bhadrapur municipality
arif husen aa vi madarasa,,6,arif husen madrassa,,jahada rural municipality
arihanta ebs,,6,,,biratnagar metropolitan city
arjundhara academy,,4,,,birtamod municipality
arjundhara sanskrit adarsha ma vi arjundhara,,4,arjundhara sanskrit adarsha ma vi,,arjundhara municipality
arjundhara sanskrit bed bidhayapith,,4,arjun dhara sanskrit bed bidhayapith,,arjundhara municipality
arjundhara ma vi arjundhara,,4,arjundhara ma vi,,arjundhara municipality
arkit academy,,4,,,damak municipality
arniko ma vi,,6,,,biratnagar metropolitan city
arpan ebs,,6,,,biratnagar metropolitan city
arpana ebs,,4,,,kanakai municipality
arubhanjyang  balakhu,avi,7,,,sunkoshi rural municipality
arubote bal bikash kendra,,13,arubote bbk,,aathrai rural municipality
arubote  musegaira,avi,13,arubote pravi,,aathrai rural municipality
arun,avi,1,arun pravi,,arun rural municipality
arun,avi,1,arun pravi,arun pravi,hatuwagadhi rural municipality
arun  batase,avi,9,arun pravi batase,arun pravi,khandbari municipality
arun  saldada,avi,9,arun nimavi,,chainpur municipality
arun besic vi bhotkhola,,9,arun pravi,,bhotkhola rural municipality
arun ganga,avi,1,arun ganga pravi,,arun rural municipality
arun top ebs,,9,,,bhotkhola rural municipality
arun valley ebs,,9,arunvalley english vi,arunvalley ebs,makalu rural municipality
arun valley international ebs,,9,,,khandbari municipality
arun valley public vi,,9,arun valley boarding vi khandbari sankhuwasabha,,khandbari municipality
arunkoshi,avi,1,arunkoshi pravi,,shadananda municipality
arunodaya,avi,4,,,gauradaha municipality
arunodaya,avi,8,arunodaya pravi,,hilihang rural municipality
arunodaya  biratnagar,avi,6,arunodaya avi,,biratnagar metropolitan city
arunodaya  gahate,avi,7,arunodaya pravi,,siddhicharan municipality
arunodaya  arjundhara,avi,4,arunodaya avi,arunodaya avi,arjundhara municipality
arunodaya ebs,,4,arunodaya ebs,,kanakai municipality
arunodaya ebs,,4,arunodaya awasiya ma vi,arunodaya awasiya ebs,mechinagar municipality
arunodaya ebs,,6,arunodaya ebs,,pathari shanishchare municipality
arunodaya karmajyamu,avi,9,arunodaya pravi,,bhotkhola rural municipality
arunodaya,pravi,3,,,sandakpur rural municipality
arunodaya,pravi,4,,,shivasatakshi municipality
arunodaya,pravi,9,,,dharmadevi municipality
arunodaya,pravi,1,arunodaya pravi,,hatuwagadhi rural municipality
arunodaya ma ebs,,3,arunodaya awasiya ebs,,suryodaya municipality
arunodaya ma vi,,2,arunodaya uchha ma vi,,mahalaxmi municipality
arunodaya ma vi,,9,,,bhotkhola rural municipality
arunodaya ma vi,,1,arunodaya ma vi,arunodaya ma vi,arun rural municipality
arya a viidhalaya harinagar gautampur,,11,arya pravi,,harinagar rural municipality
asanglung,avi,12,asanglung pravi,,maiwakhola rural municipality
asari ebs,,14,,,triyuga municipality
ascent academy,,4,acent academy,,birtamod municipality
ashadeep ebs,,3,ashadeep ebs,,ilam municipality
asian academy,,4,,,damak municipality
asian star educational academy nepal,,4,asian star education academy,,bhadrapur municipality
asine,avi,13,asine avi,,menchhayayem rural municipality
asmin memorial ebs,,4,asmin memorial ebs,,shivasatakshi municipality
asmita and abishek academy,,11,asmita abisek academy,,duhabi municipality
atalsinghadevi,pravi,2,,,sahidbhumi rural municipality
atharasaya ma vi,,2,atharasaya ma vi,,chaubise rural municipality
athrai ebs,,13,,,aathrai rural municipality
atmara,avi,2,atmara pravi,atmara pravi,dhankuta municipality
aulia taulia,avi,1,aulia taulia pravi,,pauwadungma rural municipality
auliya ma vi,,11,auliya ma vi,ahuliya ma vi,barahkshetra municipality
awatariraksha,pravi,1,awatariraksha pravi,,hatuwagadhi rural municipality
azalea ma ebs,,6,,,biratnagar metropolitan city
b p saraswati,pravi,11,,,ramdhuni municipality
b padharvut v harinagar,,11,b p pravi,,harinagar rural municipality
b s model ebs,,11,,,duhabi municipality
b b memorial ebs,,3,bb memorial english boarding vi,bb memorial ebs,ilam municipality
b n educational academy,,6,bn educational academy,,belbari municipality
b p,avi,11,b p avi,bp nimavi,inaruwa municipality
b p madan,avi,11,bp madan avi,bp madan avi rural municipality,koshi rural municipality
baba dinabhadri,avi,6,baba dinabhadri pravi,,jahada rural municipality
babuchiri bal kalyan,pravi,10,,,solududhakunda municipality
babuji,avi,11,babuji a,babuji pravi,dewanganj rural municipality
baby jyoti ebs,,4,,,kachankawal rural municipality
babycare ebs,,5,bebikear ebs,,kepilasagadhi rural municipality
babyjyoti ebs,,4,,,kachankawal rural municipality
babyland education foundation,,4,bebiland education foundation,,birtamod municipality
babylon ma ebs itahari,,11,,,itahari sub metropolitan city
bachala devi,avi,5,bachala devi pravi,,rawa besi rural municipality
bad danda,avi,7,badadanda avi,badadanda nimavi,likhu rural municipality
bagaincha,avi,8,bagaincha pravi,,hilihang rural municipality
bagarbari,avi,12,bagarbari pravi,,phungling municipality
bageshwori,pravi,2,bageshwori pravi,,dhankuta municipality
bageswari  gohiya,avi,14,bageswari pravi gohiya,,udayapurgadhi rural municipality
bagh jhoda ganatantrik,pravi,6,,,sundarharaincha municipality
bagishwari a viidyalaya,,9,bagishwori a viidyalaya,bageshwori avi,silichong rural municipality
bagishwary ma vi dhungedhara,,9,bagishwary uchha ma vi,,khandbari municipality
bagmati ebs,,3,,,phakphokthum rural municipality
baguwa,pravi,4,,,gauriganj rural municipality
bahadur baba chaudhari,avi,6,bahadur babu chaudhari pravi,,urlabari municipality
bahuban ma vi,,3,bahuban ma vi,,rong rural municipality
bahumukhi,avi,6,bahumukhi avi,,miklajung rural municipality
bahuni collegiate ebs,,6,,,belbari municipality
baijanath adhikari prarambik sanskrit bhadyapith,,6,baijanath prarambik sanskrit bhadyapith,,letang municipality
baijanath baijani  sirisedada,avi,14,baijanath baijani avi sirisedada,baijanath baijani pravi,udayapurgadhi rural municipality
baikalpik,pravi,5,baikalpik pravi,,ainselukharka rural municipality
bairati,avi,4,bairati pravi,,gauradaha municipality
bajramai ma vi,,2,bajramai ma vi,,chaubise rural municipality
bakhapalam ma vi,,10,bhakhapalam avi,,sotang rural municipality
bakhari,avi,6,bakhari avi,bakhari avi,biratnagar metropolitan city
bakraha ma vi,,6,bakraha ma vi,,miklajung rural municipality
bakshila,avi,3,bakshila pravi,,deumai municipality
bal adarsha ebs,,11,bal adarsha ebs,,itahari sub metropolitan city
bal adarsha vidya mandir,,6,bal adarsha bidhyamandir,ke bi smarak english boarding vi,pathari shanishchare municipality
bal bahadur,avi,8,bal bahadur pravi,,kummayak rural municipality
bal bahubhasiya,avi,11,bal bahubhasiya pravi,,itahari sub metropolitan city
bal balika,pravi,9,,,khandbari municipality
bal,avi,4,bal pravi,,kachankawal rural municipality
bal bhadra janata ma vi,,4,,,mechinagar municipality
bal bidhya niketan ebs,,5,,,ainselukharka rural municipality
bal bidya mandir,,3,,,mai municipality
bal bidya mandir,avi,6,bal bidya mandir pravi,,gramthan rural municipality
bal bidya mandir ebs,,11,,,duhabi municipality
bal bikas,avi,6,bal bikash adharvut vi,bal bikash avi,letang municipality
bal bikas basicvi,,8,bal bikash pravi,,phalgunanda rural municipality
bal bikas ebs,,11,bal bikash ebs,,itahari sub metropolitan city
bal bikash,avi,4,,,mechinagar municipality
bal bikash,avi,9,bal bikash avi nabagaun,bal bikash pravi,makalu rural municipality
bal bikash,avi,3,bal bikash pravi,,suryodaya municipality
bal bikash,avi,6,bal bikash pravi,,ratuwamai municipality
bal bikash,avi,6,bal bikash pravi,,ratuwamai municipality
bal bikash,avi,5,bal bikash pravi,,halesi tuwachung municipality
bal bikash  lamechaur,avi,9,bal bikash pravi,,chainpur municipality
bal bikash,pravi,10,,,solududhakunda municipality
bal bikash,pravi,5,,,diktel rupakot majhuwagadhi municipality
bal bikash,pravi,14,,,katari municipality
bal chetana  nageswary,avi,9,bal chetana pravi,,khandbari municipality
bal chetana,pravi,5,,,ainselukharka rural municipality
bal devi,pravi,5,,,rawa besi rural municipality
bal jagat ebs,,6,bal jagat ebs,,belbari municipality
bal jyoti aadarsa vidhya sadan ebs,,6,baljyoti english boarding vi ratuwamai morang,,ratuwamai municipality
bal jyoti academy,,6,,,kanepokhari rural municipality
bal jyoti,avi,10,bal jyoti avi,bal jyoti pravi,nechasalyan rural municipality
bal jyoti  koksa,avi,9,bal jyoti pravi,,chainpur municipality
bal jyoti ebs,,8,,,miklajung rural municipality
bal jyoti ebs,,6,baljyoti english vi,,kanepokhari rural municipality
bal jyoti namuna eng ebs,,6,bal jyoti namuna eng bo vi,,sundarharaincha municipality
bal jyoti,pravi,4,,,shivasatakshi municipality
bal jyoti,pravi,5,,,diktel rupakot majhuwagadhi municipality
bal jyoti,pravi,14,,,katari municipality
bal jyoti,pravi,4,bal jyoti pravi,,arjundhara municipality
bal jyoti,pravi,6,bal jyoti pravi,,urlabari municipality
bal jyoti pratisthan ebs,,4,,,bhadrapur municipality
bal kalyan,pravi,2,bal kalyan pravi,,sangurigadhi rural municipality
bal kalyan  kusunde,avi,3,bal kalyan pravi,,mangsebung rural municipality
bal kalyan a viidhylaya,,9,bal kalyan pravi,,makalu rural municipality
bal kalyan awasiya ma vi,,4,bal kalyan awasiya ebs,,birtamod municipality
bal kalyan  kingring,avi,9,bal kalyan pravi,,chainpur municipality
bal kalyan,avi,3,bal kalyan a via,bal kalyan pravi,mai municipality
bal kalyan,avi,6,bal kalyan pravi,,kerabari rural municipality
bal kalyan,avi,6,bal kalyan pravi,,kerabari rural municipality
bal kalyan,avi,6,bal kalyan pravi,,kerabari rural municipality
bal kalyan,avi,1,bal kalyan pravi,,aamchowk rural municipality
bal kalyan,avi,5,bal kalyan pravi,,halesi tuwachung municipality
bal kalyan,pravi,3,,,mangsebung rural municipality
bal kalyan,pravi,3,,,sandakpur rural municipality
bal kalyan,pravi,3,,,rong rural municipality
bal kalyan,pravi,3,,,mai municipality
bal kalyan,pravi,3,,,sandakpur rural municipality
bal kalyan,pravi,9,,,bhotkhola rural municipality
bal kalyan,pravi,1,,,salpasilichho rural municipality
bal kalyan  chatiwane,pravi,14,,,limchungbung rural municipality
bal kalyan,pravi,6,bal kalyan pravi,,letang municipality
bal kalyan,pravi,1,bal kalyan pravi,,hatuwagadhi rural municipality
bal kalyan praimary vi,,2,bal kalyan pravi,,dhankuta municipality
bal kalyan primary,,2,bal kalyan pravi,,chaubise rural municipality
bal kalyan,pravi,2,bal kalyan pravi,bal kalyan pravi,mahalaxmi municipality
bal kalyan,pravi,2,bal kalyan pravi,,dhankuta municipality
bal kalyan vidhya mandir ma vi,,6,bal kalyan vidya mandir,,biratnagar metropolitan city
bal kanya,avi,5,bal kanya pravi,,barahapokhari rural municipality
bal kanya,avi,10,bal kanya pravi,,nechasalyan rural municipality
bal kanya,pravi,3,,,rong rural municipality
bal kanya,pravi,9,,,silichong rural municipality
bal kanya,pravi,1,,,bhojpur municipality
bal kanya,pravi,10,,,mapya dudhkoshi rural municipality
bal kanya,pravi,5,,,diktel rupakot majhuwagadhi municipality
bal kanya,pravi,5,,,halesi tuwachung municipality
bal kanya,pravi,5,,,diktel rupakot majhuwagadhi municipality
bal kanya,pravi,1,bal kanya pravi,,hatuwagadhi rural municipality
bal kiran ebs,,8,,,phidim municipality
bal ma vi rani,,6,bal ma vi,,biratnagar metropolitan city
bal ma vi,,6,bal ma vi,,biratnagar metropolitan city
bal mandir,avi,12,bal mandir pravi,,phungling municipality
bal mandir,avi,3,bal mandir a via,bal mandir pravi,mai municipality
bal mandir,avi,6,bal mandir pravi,,biratnagar metropolitan city
bal mandir,avi,9,bal mandir pravi,,chainpur municipality
bal mandir ma vi,,11,,,inaruwa municipality
bal mandir,pravi,3,,,ilam municipality
bal mandir,pravi,13,,,myanglung municipality
bal mandir,pravi,10,,,solududhakunda municipality
bal mandir,pravi,5,,,khotehang rural municipality
bal mukhi,avi,14,bal mukhi pravi ajgar,,chaudandigadhi municipality
bal namuna bidya mandir ebs,,6,bal namuna vidya mandir eng vi,balnamuna bidya mandir ebs,pathari shanishchare municipality
bal namuna,pravi,8,,,miklajung rural municipality
bal nanda,avi,8,bal nanda pravi,,tumbewa rural municipality
bal niketan ebs,,6,,,letang municipality
bal niketan,pravi,3,,,sandakpur rural municipality
bal nikunja,avi,13,bal nikunja pravi,,phedap rural municipality
bal  bansbote ahaltar,pravi,14,,,limchungbung rural municipality
bal pragati,avi,3,bal pragati a via,bal pragati pravi,mai municipality
bal pratibha ebs,,6,bal pratibha ebs,,sundarharaincha municipality
bal pratibha montessori vi,,11,,,itahari sub metropolitan city
bal pushpika montessori,,4,,,mechinagar municipality
bal sansar academy,,4,,,jhapa rural municipality
bal sansar montessori vi,,11,,,itahari sub metropolitan city
bal sansar ma,,2,bal sansar ma vi,bal sansar uchha ma vi,dhankuta municipality
bal sewa,avi,4,bal sewa avi,,shivasatakshi municipality
bal shakti,avi,1,bal shakti pravi,,aamchowk rural municipality
bal sikshya,pravi,8,,,phalelung rural municipality
bal sikshya,pravi,2,bal sikshya pravi,,pakhribas municipality
bal srijana ebs,,6,,,pathari shanishchare municipality
bal subodhini sanskrit ma vi,,12,bal subodhini sanskrit uchha ma vi,,phungling municipality
bal subodhini ma vi,,4,bal subodhini avi,,mechinagar municipality
bal sudha,pravi,9,,,makalu rural municipality
bal sudhar panchakanya,avi,1,bal sudhar pancha kanya pravi,,pauwadungma rural municipality
bal sudhar,pravi,5,,,diktel rupakot majhuwagadhi municipality
bal sushil,avi,9,bal sushil pravi,,dharmadevi municipality
bal vidhya ebs,pravi,4,bal vidhya english vi,balvidya english boarding vi,gauradaha municipality
bal vidhya mandir ebs galphadiya,,14,balbidhya mandir ebs tapeswori,,belaka municipality
