school_id,name,location,ward,local_level_id,local_level,district_id,district,province_id,province,old_name1,old_name2,old_name3
170,Adarsha Shiksha Sadan EBS,diktel Rupakot majhuwagadhi,1,360,Diktel Rupakot Majhuwagadhi Municipality,5,Khotang,1,Koshi Province,Adarsashiksha Sadan Ebs,,
171,Adarsha Sikshya Niketan Basic School,Gramthan,5,409,Gramthan Rural Municipality,6,Morang,1,Koshi Province,Adarsha Sikshya Niketan Adhar V,,
172,Adarsha Sikshya Sadan Pra V,Dadakharka,7,354,Diprung Chuichumma Rural Municipality,5,Khotang,1,Koshi Province,,,
173,Adarsha Sishu Primary School,Puranodabali,12,97,Bhojpur Municipality,1,Bhojpur,1,Koshi Province,Adarsha Sishu Pra V,,
174,Adarsha Sita Basic School,Ringuwa,9,416,Pathari Shanishchare Municipality,6,Morang,1,Koshi Province,Adarsha Sita Pra V,,
175,Adarsha Vidya Mandir,Dhulabari,9,272,Mechinagar Municipality,4,Jhapa,1,Koshi Province,Adarsha Bidya Mandir Ebs,,
176,Adarsha Vidya Mandir Secondary School,Kanakai,9,271,Kanakai Municipality,4,Jhapa,1,Koshi Province,Adarsha Vidya Mandir Ma Vi,Adarsha Bidya Mandir Ma V,
177,Adhar V Khayarbana,Katahari,4,412,Katahari Rural Municipality,6,Morang,1,Koshi Province,,,
178,Adharbhoot  V Thakle,Udayapurgadhi,1,778,Udayapurgadhi Rural Municipality,14,Udayapur,1,Koshi Province,Ni Ma V Thakle,,
179,Adharbhut  Bidyalaya,Bhaluwa,7,719,Duhabi Municipality,11,Sunsari,1,Koshi Province,,,
