school_id_A,school_id_B,School_name_transliterated,root_school_name,district_id_B,district_id_A,Fuzzy_match_score,Match_Type
1,,janapriya,,,bhojpur,0,No Match
1,,chenakhama,,,bhojpur,0,No Match
6,,gograha,,,morang,0,No Match
46,,shri shamkara,,,tanahun,0,No Match
46,,janajagrriti,,,tanahun,0,No Match
