school_id,school,school_1,School_level,School_name,Location,Matched_district,Match_percent,Location_1
32,"सिंह बाहिनी प्राथमिक विद्यालय भोजपुर न॰पा॰, भोजपुर",सिंह बाहिनी प्रावि भोजपुर न पा भोजपुर,प्रावि,सिंह बाहिनी,भोजपुर न पा भोजपुर,भोजपुर,100,न पा
33,"जागृती मा॰वि, भक्तपुर",जागृती मावि भक्तपुर,मावि,जागृती,भक्तपुर,भक्तपुर,100,
34,"निर्मल प्रा वि, तनहु",निर्मल प्रावि तनहुँ,प्रावि,निर्मल,तनहुँ,तनहुँ,100,
35,"अन्नपूर्ण प्राथमिक विद्यालय, तनहुँ",अन्नपूर्ण प्रावि तनहुँँ,प्रावि,अन्नपूर्ण,तनहुँ,तनहुँ,100,
36,सिंह जलेश्वरी निम्न माध्यमिक विधालय तिवारीभञ्ज्याङ भोजपुर,सिंह जलेश्वरी निमावि तिवारीभञ्ज्याङ भोजपुर,निमावि,सिंह जलेश्वरी,तिवारीभञ्ज्याङ भोजपुर,भोजपुर,100,तिवारीभञ्ज्याङ
37,"साङ्गरुम्बा उ॰ माध्यमिक विधालय, साङ्गरुम्बा -३ इलाम",साङ्गरुम्बा मावि साङ्गरुम्बा इलाम,मावि,साङ्गरुम्बा,साङ्गरुम्बा इलाम,इलाम,100,साङ्गरुम्बा
38,"जीवनज्योति माध्यमिक विद्यालय, इलाम",जीवनज्योति मावि इलाम,मावि,जीवनज्योति,इलाम,इलाम,100,
39,"सितला देवी प्रा॰वि॰ तिवारी भञ्जाङ, भोजपुर",सितला देवी प्रावि तिवारी भञ्जाङ भोजपुर,प्रावि,सितला देवी,तिवारी भञ्जाङ भोजपुर,भोजपुर,100,तिवारी भञ्जाङ
40,"सिंहदेवी आधारभूत विद्यालय, इलाम",सिंहदेवी आवि इलाम,आवि,सिंहदेवी,इलाम,इलाम,100,
41,"विजया आधारभूत विद्यालय आमचोक, इलाम",विजया आवि आमचोक इलाम,आवि,विजया,आमचोक इलाम,इलाम,100,आमचोक
42,कालिका माध्यमिक विधालय हेलौछा भोजपुर,कालिका मावि हेलौछा भोजपुर,मावि,कालिका,हेलौछा भोजपुर,भोजपुर,100,हेलौछा
