school_id_A,school_id_B,root_school_name_A,root_school_old_name2_B,school_level_A,school_level_old_name2_B,district_A,district_B,Fuzzy_match_score,Match_Type
24652,72513,mahakali,mahakali,pravi,pravi,dadeldhura,dadeldhura,3.0,"District: complete, School level: complete, Root name: complete"
24666,63268,ne ra,ne ra,nimavi,nimavi,dailekh,dailekh,3.0,"District: complete, School level: complete, Root name: complete"
24682,62220,ne ra,nera,pravi,pravi,dailekh,dailekh,3.0,"District: complete, School level: complete, Root name: complete"
24811,16027,chandrakala,chandra kala,pravi,pravi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
24832,6523,buddha,buddha,mavi,mavi,mugu,mugu,3.0,"District: complete, School level: complete, Root name: complete"
24946,16090,jalimadevi,jalim devi,pravi,pravi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
24984,14614,pashupati,pashupati,nimavi,nimavi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
24995,35736,sarasvati,saraswati,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
25049,36494,janata,janata,pravi,pravi,ramechhap,ramechhap,3.0,"District: complete, School level: complete, Root name: complete"
25124,3878,bhima,bhim,mavi,mavi,kathmandu,kathmandu,3.0,"District: complete, School level: complete, Root name: complete"
25166,44089,shitala,shitala,mavi,mavi,syangja,syangja,3.0,"District: complete, School level: complete, Root name: complete"
25175,21388,janata,janata,pravi,pravi,siraha,siraha,3.0,"District: complete, School level: complete, Root name: complete"
25241,61450,jivana jyoti,jivan jyoti,pravi,pravi,surkhet,surkhet,3.0,"District: complete, School level: complete, Root name: complete"
25261,7113,arunodaya,arunodaya,mavi,mavi,kailali,kailali,3.0,"District: complete, School level: complete, Root name: complete"
25275,52096,jana kalyana,jana kalyan,mavi,mavi,banke,banke,3.0,"District: complete, School level: complete, Root name: complete"
25282,24264,virendra,birendra,avi,avi,rautahat,rautahat,3.0,"District: complete, School level: complete, Root name: complete"
25301,36857,sharada,sharada,mavi,mavi,kavrepalanchok,kavrepalanchok,3.0,"District: complete, School level: complete, Root name: complete"
25304,24850,sharada,sarada,mavi,mavi,rautahat,rautahat,3.0,"District: complete, School level: complete, Root name: complete"
25363,54072,nepala rashtiya,nepal rastriya,mavi,mavi,rolpa,rolpa,3.0,"District: complete, School level: complete, Root name: complete"
25401,3860,bhanu,bhanu,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
25469,32184,gu~nja nagara,gunjanagar,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
25526,74196,udaya,udaya,mavi,mavi,baitadi,baitadi,3.0,"District: complete, School level: complete, Root name: complete"
25574,37557,devi,devi,pravi,pravi,ramechhap,ramechhap,3.0,"District: complete, School level: complete, Root name: complete"
25575,63109,himalaya,himalaya u,mavi,mavi,dailekh,dailekh,3.0,"District: complete, School level: complete, Root name: complete"
25744,12183,jalapa,jalpa,mavi,mavi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
25987,43170,rajata jayanti,rajat jayanti,pravi,pravi,baglung,baglung,3.0,"District: complete, School level: complete, Root name: complete"
26057,55542,krrishna,krishna,mavi,mavi,rolpa,rolpa,3.0,"District: complete, School level: complete, Root name: complete"
26080,63307,pa~nchadeva,pancha dev,mavi,mavi,kalikot,kalikot,3.0,"District: complete, School level: complete, Root name: complete"
26127,36549,kamada,kamada,mavi,mavi,sindhuli,sindhuli,3.0,"District: complete, School level: complete, Root name: complete"
26306,1723,bhanu,bhanu,mavi,mavi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
26313,44076,satyavati devi,satyawati devi,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
26455,71418,harishachandra,hari chandra,pravi,pravi,bajhang,bajhang,3.0,"District: complete, School level: complete, Root name: complete"
26505,61341,janata,janata,pravi,pravi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
26525,55090,shakha,shakha,pravi,pravi,rolpa,rolpa,3.0,"District: complete, School level: complete, Root name: complete"
26559,769,alkapuri,alkapuri,mavi,mavi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
26581,36348,chandika,chandika,mavi,mavi,sindhuli,sindhuli,3.0,"District: complete, School level: complete, Root name: complete"
26633,72798,moti mahila samgha,moti mahila sangh,pravi,pravi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
26646,71211,ganesha,ganesh,mavi,mavi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
26758,1733,bairati,bharati,pravi,pravi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
26792,52453,janata,janata,avi,avi,nawalparasi,nawalparasi,3.0,"District: complete, School level: complete, Root name: complete"
26870,55266,adarsha,adarsha,avi,avi,arghakhanchi,arghakhanchi,3.0,"District: complete, School level: complete, Root name: complete"
26877,36235,vanaspati,banaspati,pravi,pravi,lalitpur,lalitpur,3.0,"District: complete, School level: complete, Root name: complete"
26906,12694,janata,janta,mavi,mavi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
