school_id_A,school_id_B,root_school_name_A,root_school_old_name2_B,school_level_A,school_level_old_name2_B,district_A,district_B,Fuzzy_match_score,Match_Type
26901,11835,gramodaya,gyanodaya u,mavi,mavi,parbat,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
26902,11751,lakshmi bhavana,gram baba,pravi,pravi,parbat,morang,1.5,"District: no match, School level: complete, Root name: partial"
26903,1252,mara~na,arunodaya,avi,avi,mustang,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
26905,24202,matrribhumi,sonma tarhari,avi,avi,parbat,mahottari,1.5,"District: no match, School level: complete, Root name: partial"
26909,1252,lakshmidaya,arunodaya,avi,avi,parbat,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
26911,73004,ne ra,ne ra,mavi,mavi,jajarkot,baitadi,2.5,"District: no match, School level: complete, Root name: complete"
26912,1981,buddha,buddha,mavi,pravi,makwanpur,okhaldhunga,2.0,"District: no match, School level: no match, Root name: complete"
26913,12933,lakshmi,kailash,pravi,pravi,parbat,ilam,1.5,"District: no match, School level: complete, Root name: partial"
26914,15040,krrishna bhavana dharma,rastriya  bagaha,mavi,mavi,parbat,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
26916,36541,kalika,kalika,avi,avi,rupandehi,makwanpur,2.5,"District: no match, School level: complete, Root name: complete"
26915,1128,amvari,amar english,mavi,mavi,parbat,morang,1.5,"District: no match, School level: complete, Root name: partial"
26919,12564,jana sahayogi,janasahayog,pravi,pravi,parbat,okhaldhunga,2.5,"District: no match, School level: complete, Root name: complete"
26921,1477,vishvajyoti,baljyoti,mavi,mavi,parbat,okhaldhunga,1.5,"District: no match, School level: complete, Root name: partial"
26922,12442,siddheshvara,jana sidhha,pravi,pravi,parbat,ilam,1.5,"District: no match, School level: complete, Root name: partial"
26923,143,navaratna,adarsha,pravi,pravi,parbat,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
26924,1685,bahaki,bhaldhunga,mavi,mavi,parbat,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
26925,43845,sidha.nli,dhaulagiri,pravi,pravi,parbat,parbat,2.0,"District: complete, School level: complete, Root name: partial"
26927,1801,yuva varsha,bidya bikash,avi,avi,myagdi,morang,1.5,"District: no match, School level: complete, Root name: partial"
26929,16437,shiva,shiva,mavi,pravi,kailali,sankhuwasabha,2.0,"District: no match, School level: no match, Root name: complete"
26928,11835,dharmodaya,gyanodaya u,mavi,mavi,parbat,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
