school_id,district,modified_name,modified_name_school_level,modified_name_root,modified_old_name1,modified_old_name1_school_level,modified_old_name1_root,modified_old_name2,modified_old_name2_school_level,modified_old_name2_root,district
152,jhapa,adarsha janata pravi,pravi,adarsha janata,,,,,,,jhapa
153,morang,adarsha mavi,mavi,adarsha,adarsha avi,avi,adarsha,,,,morang
154,jhapa,adarsha mavi,mavi,adarsha,,,,,,,jhapa
155,morang,adarsha mavi,mavi,adarsha,adarsha mavi,mavi,adarsha,,,,morang
156,solukhumbu,adarsha milan pravi,pravi,adarsha milan,,,,,,,solukhumbu
157,jhapa,adarsha namuna english boarding school,,adarsha namuna english boarding school,adarsa namuna ebs,,adarsa namuna ebs,,,,jhapa
158,ilam,adarsha niketen english school,,adarsha niketen english school,adarsha niketen ebs,,adarsha niketen ebs,,,,ilam
159,jhapa,adarsha pravi,pravi,adarsha,,,,,,,jhapa
160,jhapa,adarsha pravi,pravi,adarsha,,,,,,,jhapa
161,morang,adarsha pravi,pravi,adarsha,,,,,,,morang
162,morang,adarsha pravi,pravi,adarsha,,,,,,,morang
163,tehrathum,adarsha pravi,pravi,adarsha,,,,,,,tehrathum
164,jhapa,adarsha pravi,pravi,adarsha,adarsha pravi,pravi,adarsha,,,,jhapa
165,sankhuwasabha,adarsha mavi bidya mandir ratmate pathakgaun,mavi,adarsha  bidya mandir ratmate pathakgaun,adarsha mavi bidya mandir pathakgaun,mavi,adarsha  bidya mandir pathakgaun,adarsha bidya mandir mavi pathakgaun,mavi,adarsha bidya mandir  pathakgaun,sankhuwasabha
166,taplejung,adarsha mavi,mavi,adarsha,adarsha mavi,mavi,adarsha,,,,taplejung
167,ilam,adarsha mavi,mavi,adarsha,adarsha mavi,mavi,adarsha,,,,ilam
168,jhapa,adarsha mavi,mavi,adarsha,adarsha mavi,mavi,adarsha,,,,jhapa
169,dhankuta,adarsha mavi,mavi,adarsha,adarsha mavi sahidbhumi saphai dhap dhankuta,mavi,adarsha  sahidbhumi saphai dhap dhankuta,adarsha mavi,mavi,adarsha,dhankuta
170,khotang,adarsha shiksha sadan ebs,,adarsha shiksha sadan ebs,adarsashiksha sadan ebs,,adarsashiksha sadan ebs,,,,khotang
171,morang,adarsha sikshya niketan avi,avi,adarsha sikshya niketan,adarsha sikshya niketan avi,avi,adarsha sikshya niketan,,,,morang
172,khotang,adarsha sikshya sadan pravi,pravi,adarsha sikshya sadan,,,,,,,khotang
173,bhojpur,adarsha sishu pravi,pravi,adarsha sishu,adarsha sishu pravi,pravi,adarsha sishu,,,,bhojpur
174,morang,adarsha sita avi,avi,adarsha sita,adarsha sita pravi,pravi,adarsha sita,,,,morang
175,jhapa,adarsha vidya mandir,,adarsha vidya mandir,adarsha bidya mandir ebs,,adarsha bidya mandir ebs,,,,jhapa
176,jhapa,adarsha vidya mandir mavi,mavi,adarsha vidya mandir,adarsha vidya mandir mavi,mavi,adarsha vidya mandir,adarsha bidya mandir mavi,mavi,adarsha bidya mandir,jhapa
177,morang,avi khayarbana,avi,khayarbana,,,,,,,morang
178,udayapur,avi thakle,avi,thakle,nimavi thakle,nimavi,thakle,,,,udayapur
179,sunsari,avi,avi,,,,,,,,sunsari
180,udayapur,avi jahadi simle,avi,jahadi simle,nimavi jahadi simle,nimavi,jahadi simle,,,,udayapur
181,tehrathum,adharbhut janasmriti pravi,pravi,adharbhut janasmriti,,,,,,,tehrathum
182,dhankuta,adharbhut pravi,pravi,adharbhut,adarbhut pravi,pravi,adarbhut,,,,dhankuta
183,sunsari,avi ghuskeehat,avi,ghuskeehat,nimavi ghuskeehat,nimavi,ghuskeehat,,,,sunsari
184,sunsari,avi sishuwa dharampur,avi,sishuwa dharampur,nimavi sishuwadharampur,nimavi,sishuwadharampur,,,,sunsari
185,sunsari,avi,avi,,pravi jalpapur,pravi,jalpapur,,,,sunsari
186,sunsari,avi,avi,,avi holaiya,avi,holaiya,pravi holaiya,pravi,holaiya,sunsari
187,udayapur,avi ambote,avi,ambote,,,,,,,udayapur
188,morang,avi kanchanbari,avi,kanchanbari,avi kanchanbari,avi,kanchanbari,,,,morang
189,udayapur,avi lamadi barre,avi,lamadi barre,,,,,,,udayapur
190,sankhuwasabha,avi phakshi,avi,phakshi,nimavi phakshi,nimavi,phakshi,,,,sankhuwasabha
191,udayapur,avi barbhanjyang,avi,barbhanjyang,avi barbhanjyang,avi,barbhanjyang,,,,udayapur
192,sunsari,aditya star ebs,,aditya star ebs,,,,,,,sunsari
193,morang,advance montessory,,advance montessory,,,,,,,morang
194,jhapa,advanced world academy,,advanced world academy,,,,,,,jhapa
195,jhapa,adventist english school,,adventist english school,,,,,,,jhapa
196,sunsari,aekata gyan maithil pravi,pravi,aekata gyan maithil,,,,,,,sunsari
197,panchthar,agnikasing avi tumbewa,avi,agnikasing  tumbewa,agnikasing pravi,pravi,agnikasing,,,,panchthar
198,sankhuwasabha,ahale avi,avi,ahale,ahale ni mavi,mavi,ahale ni,ahale nimavi,nimavi,ahale,sankhuwasabha
199,morang,ahale pravi,pravi,ahale,ahale pravi,pravi,ahale,ahalepr v,,ahalepr v,morang
1100,jhapa,aims educational academy arjundhara,,aims educational academy arjundhara,aims educational academy arjundhara,,aims educational academy arjundhara,aims educational academy,,aims educational academy,jhapa
1101,dhankuta,aishworya avi,avi,aishworya,aishworya pravi,pravi,aishworya,aishworya pravi,pravi,aishworya,dhankuta
1102,ilam,aishworya pravi,pravi,aishworya,,,,,,,ilam
1103,sankhuwasabha,aitabare avi,avi,aitabare,aitabare avi,avi,aitabare,aitabare avi,avi,aitabare,sankhuwasabha
1104,bhojpur,aitabare ni ma,,aitabare ni ma,,,,,,,bhojpur
1105,dhankuta,aitabare pravi,pravi,aitabare,,,,,,,dhankuta
1106,dhankuta,aitabare pravi,pravi,aitabare,,,,,,,dhankuta
1107,sankhuwasabha,aitabare pravi,pravi,aitabare,,,,,,,sankhuwasabha
1108,bhojpur,aitabare pravi,pravi,aitabare,,,,,,,bhojpur
1109,morang,ajajiya madarasa avi,avi,ajajiya madarasa,ajajiya madrassa,,ajajiya madrassa,,,,morang
1110,dhankuta,ajambari pravi,pravi,ajambari,,,,,,,dhankuta
1111,sunsari,ak montessori school,,ak montessori school,,,,,,,sunsari
1112,khotang,akash devi pravi,pravi,akash devi,akash devi pravi,pravi,akash devi,,,,khotang
1113,sankhuwasabha,akchewa avi,avi,akchewa,akchewa avi,avi,akchewa,akchewa pravi,pravi,akchewa,sankhuwasabha
1114,sunsari,akshara english school,,akshara english school,,,,,,,sunsari
1115,sunsari,al islah ideal school madarsa,,al islah ideal school madarsa,all islah ideal school madarssa,,all islah ideal school madarssa,,,,sunsari
1116,jhapa,al madina madarsa,,al madina madarsa,,,,,,,jhapa
1117,morang,alember pravi,pravi,alember,alember pravi,pravi,alember,,,,morang
1118,sunsari,alfalah public mavi,mavi,alfalah public,madrassa allfalaha public school,,madrassa allfalaha public school,madrassa allfalaha public scool,,madrassa allfalaha public scool,sunsari
1119,sunsari,ali public school,,ali public school,,,,,,,sunsari
1120,jhapa,allied english school,,allied english school,elite ebs,,elite ebs,,,,jhapa
1121,panchthar,alpa devi avi,avi,alpa devi,alpa devi pravi,pravi,alpa devi,,,,panchthar
1122,sunsari,alpha academy,,alpha academy,,,,,,,sunsari
1123,sunsari,alpha beta ebs,,alpha beta ebs,,,,,,,sunsari
