school_id	school	velthuis	district1	confidence	all_matches	district_english	name	location	ward	local_level_id	local_level	district_id	district	province_id	province	old_name1	old_name2	old_name3	district_similarity_score	location_similarity_score	score_name_and_velthuis
1145	महेन्द्र रत्न माध्यमिक विद्यालय, विर्तामोड, झापा	mahendra ratna maadhyamika vidyaalaya, virtaamo.da, jhaapaa	झापा	100.0	[('झापा', 100.0, 56), ('रामेछाप', 80.0, 22), ('रोल्पा', 80.0, 30)]	Jhapa	Amar Singh Prathamik Vidhyalaya	Jhapa R.M.	1.0	268	Jhapa Rural Municipality	4	Jhapa	1	Koshi Province	Amar Singh Pra V			1.0	0.4666666666666667	0.4666666666666667
1181	महेन्द्र रत्न माध्यमिक विद्यालय, विर्तामोड, झापा	mahendra ratna maadhyamika vidyaalaya, virtaamo.da, jhaapaa	झापा	100.0	[('झापा', 100.0, 56), ('रामेछाप', 80.0, 22), ('रोल्पा', 80.0, 30)]	Jhapa	Anarmani Adharbhut Bidhyalaya	Birtamod	4.0	262	Birtamod Municipality	4	Jhapa	1	Koshi Province	Anarmani Adharbhut Bidhalaya	Anarmani Pra V		1.0	0.29545454545454547	0.29545454545454547
1219	महेन्द्र रत्न माध्यमिक विद्यालय, विर्तामोड, झापा	mahendra ratna maadhyamika vidyaalaya, virtaamo.da, jhaapaa	झापा	100.0	[('झापा', 100.0, 56), ('रामेछाप', 80.0, 22), ('रोल्पा', 80.0, 30)]	Jhapa	Araniko Madhyamik Bidhyalaya	Gomansari	7.0	272	Mechinagar Municipality	4	Jhapa	1	Koshi Province	Araniko Pra V			1.0	0.45977011494252873	0.45977011494252873
130	बालमण्डल माध्यमिक विद्यालय, इलाम न॰पा॰, इलाम	baalama.n.dala maadhyamika vidyaalaya, ilaama na॰paa॰, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.21621621621621623	0.21621621621621623
130	नन्द माध्यमिक विद्यालय, इलाम न॰पा॰, इलाम	nanda maadhyamika vidyaalaya, ilaama na॰paa॰, ilaama	इलाम	100.0	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam	Adarniya mavi	Sandakpur	1.0	250	Sandakpur Rural Municipality	3	Ilam	1	Koshi Province	Adarniya Adhar V			1.0	0.2153846153846154	0.2153846153846154
121	बुद्ध आर्दश उ॰ माध्यमिक विधालय, झापा	"buddha aarda""sa u॰ maadhyamika vidhaalaya, jhaapaa"	झापा	100.0	[('झापा', 100.0, 56), ('रामेछाप', 80.0, 22), ('रोल्पा', 80.0, 30)]	Jhapa	Aaramva Bal Sikshalaya Ebs	Chakchaki	5.0	260	Bahradashi Rural Municipality	4	Jhapa	1	Koshi Province				1.0	0.34210526315789475	0.34210526315789475
164	बुद्ध आर्दश उ॰ माध्यमिक विधालय, झापा	"buddha aarda""sa u॰ maadhyamika vidhaalaya, jhaapaa"	झापा	100.0	[('झापा', 100.0, 56), ('रामेछाप', 80.0, 22), ('रोल्पा', 80.0, 30)]	Jhapa	Adarsha Prathamik Bidhyalaya	Bhaishabari	3.0	261	Bhadrapur Municipality	4	Jhapa	1	Koshi Province	Adarsha Pra V			1.0	0.48717948717948717	0.48717948717948717
1145	बुद्ध आर्दश उ॰ माध्यमिक विधालय, झापा	"buddha aarda""sa u॰ maadhyamika vidhaalaya, jhaapaa"	झापा	100.0	[('झापा', 100.0, 56), ('रामेछाप', 80.0, 22), ('रोल्पा', 80.0, 30)]	Jhapa	Amar Singh Prathamik Vidhyalaya	Jhapa R.M.	1.0	268	Jhapa Rural Municipality	4	Jhapa	1	Koshi Province	Amar Singh Pra V			1.0	0.41975308641975306	0.41975308641975306
1181	बुद्ध आर्दश उ॰ माध्यमिक विधालय, झापा	"buddha aarda""sa u॰ maadhyamika vidhaalaya, jhaapaa"	झापा	100.0	[('झापा', 100.0, 56), ('रामेछाप', 80.0, 22), ('रोल्पा', 80.0, 30)]	Jhapa	Anarmani Adharbhut Bidhyalaya	Birtamod	4.0	262	Birtamod Municipality	4	Jhapa	1	Koshi Province	Anarmani Adharbhut Bidhalaya	Anarmani Pra V		1.0	0.3037974683544304	0.3037974683544304
1219	बुद्ध आर्दश उ॰ माध्यमिक विधालय, झापा	"buddha aarda""sa u॰ maadhyamika vidhaalaya, jhaapaa"	झापा	100.0	[('झापा', 100.0, 56), ('रामेछाप', 80.0, 22), ('रोल्पा', 80.0, 30)]	Jhapa	Araniko Madhyamik Bidhyalaya	Gomansari	7.0	272	Mechinagar Municipality	4	Jhapa	1	Koshi Province	Araniko Pra V			1.0	0.48717948717948717	0.48717948717948717
