school_id	school	velthuis	district1	confidence	all_matches	district_english
70	विद्याधरी प्राथमिक विद्यालय रामप्रसादराई गा॰पा॰, भोजपुर	vidyaadharii praathamika vidyaalaya raamaprasaadaraaii gaa॰paa॰, bhojapura	भोजपुर	100	[('भोजपुर', 100.0, 18), ('बारा', 80.0, 48), ('बाजुरा', 80.0, 65)]	Bhojpur
71	देवीथान माध्यमिक विधालय आम्तेक भोजपुर	deviithaana maadhyamika vidhaalaya aamteka bhojapura	भोजपुर	100	[('भोजपुर', 100.0, 18), ('बारा', 80.0, 48), ('बाजुरा', 80.0, 65)]	Bhojpur
72	अमरज्योति प्राथमिक विद्यालय, शुक्लागन्डकी, तनहुं	"amarajyoti praathamika vidyaalaya, ""suklaagan.dakii, tanahu.m"	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
73	वरभन्ज्या नि॰मा॰वि॰, इलाम	varabhanjyaa ni॰maa॰vi॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
74	नल देवी प्रा बि, तनहु	nala devii praa bi, tanahu	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
75	धर्म माध्यमिक विधालय भिमाद, तनहुँ	dharma maadhyamika vidhaalaya bhimaada, tanahuँ	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
76	मिक्लाचो मा॰वि॰, इलाम	miklaaco maa॰vi॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
77	बुद्ध माध्यमिक विद्यालय, इलाम	buddha maadhyamika vidyaalaya, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
78	रत्न देवी आधारभूत विद्यालय, गजुरमुखी, ईलाम	ratna devii aadhaarabhuuta vidyaalaya, gajuramukhii, iilaama	इलाम	85.7142857142857	[('इलाम', 85.71428571428572, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
79	गजुरमुखी आधारभूत विद्यालय, इलाम	gajuramukhii aadhaarabhuuta vidyaalaya, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
80	जालपा प्राथमिक विद्यालय अरुण, भोजपुर	jaalapaa praathamika vidyaalaya aru.na, bhojapura	भोजपुर	100	[('भोजपुर', 100.0, 18), ('बारा', 80.0, 48), ('बाजुरा', 80.0, 65)]	Bhojpur
81	सिंहेश्वरी आधारभूत विद्यालय, इलाम	"si.mhe""svarii aadhaarabhuuta vidyaalaya, ilaama"	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
82	सिद्धि विनायक प्राथमिक विधालय, सुम्बेक इलाम	siddhi vinaayaka praathamika vidhaalaya, sumbeka ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 80.0, 25), ('कैलाली', 80.0, 75)]	Ilam
83	दोभान प्रा॰वि॰, इलाम	dobhaana praa॰vi॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
84	देवी प्रा॰वि॰, इलाम	devii praa॰vi॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
85	इरौंटार आधारभूत विद्यालय रोङ गा॰पा॰, इलाम	"irau.m.taara aadhaarabhuuta vidyaalaya ro""na gaa॰paa॰, ilaama"	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
86	विद्या प्रा॰वि॰, इलाम	vidyaa praa॰vi॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
87	महेश्वरा प्राथमिक विद्यालय, निन्दाखु, साेयाक, इलाम	"mahe""svaraa praathamika vidyaalaya, nindaakhu, saaeyaaka, ilaama"	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
88	बिक्री प्रा॰ बी ॰, इलाम	bikrii praa॰ bii ॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
89	भगवती माध्यमिक विद्यालय, गोलाखर्क, इलाम	bhagavatii maadhyamika vidyaalaya, golaakharka, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
90	देउराली प्रा॰वि॰, जितपुर, इलाम	deuraalii praa॰vi॰, jitapura, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
91	आदर्श प्रा॰वि॰, फिक्कल, इलाम	"aadar""sa praa॰vi॰, phikkala, ilaama"	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
92	आदर्श माध्यमिक विद्यालय, इलाम	"aadar""sa maadhyamika vidyaalaya, ilaama"	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
93	नेपालटार माध्यमिक विद्यालय साखेजुङ, इलाम	"nepaala.taara maadhyamika vidyaalaya saakheju""na, ilaama"	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
94	दृपादवी प्रा॰वि॰, इलाम	d.rpaadavii praa॰vi॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
95	पशुपति कन्या मन्दिर माध्यमिक विधालय, दोलखा	"pa""supati kanyaa mandira maadhyamika vidhaalaya, dolakhaa"	दोलखा	100	[('दोलखा', 100.0, 37), ('दैलेख', 85.71428571428572, 14), ('सोलुखुम्बु', 75.0, 58)]	Dolakha
96	नव ज्योती आधारभूत विद्यालय, इलाम	nava jyotii aadhaarabhuuta vidyaalaya, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
97	भगवती माध्यमिक विद्यालय, इलाम	bhagavatii maadhyamika vidyaalaya, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
98	भगवती उ॰ माध्यमिक विधालय धुसेनी-६ इलाम	bhagavatii u॰ maadhyamika vidhaalaya dhusenii-6 ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 80.0, 25)]	Ilam
99	हिमाली माध्यमिक विद्यालय पृथ्वीनगर, झापा	himaalii maadhyamika vidyaalaya p.rthviinagara, jhaapaa	झापा	100	[('झापा', 100.0, 56), ('रामेछाप', 80.0, 22), ('रोल्पा', 80.0, 30)]	Jhapa
100	महेन्द्र रत्न माध्यमिक विद्यालय, विर्तामोड, झापा	mahendra ratna maadhyamika vidyaalaya, virtaamo.da, jhaapaa	झापा	100	[('झापा', 100.0, 56), ('रामेछाप', 80.0, 22), ('रोल्पा', 80.0, 30)]	Jhapa
101	कालीका मा बि, तनहु	kaaliikaa maa bi, tanahu	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
102	सिद्धमहाकाली माध्यमिक विद्यालय, तनहुँ	siddhamahaakaalii maadhyamika vidyaalaya, tanahuँ	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
103	लक्ष्मी नारायण्ा प्रा वि, भोजपुर	lak.smii naaraaya.naa praa vi, bhojapura	भोजपुर	100	[('भोजपुर', 100.0, 18), ('बारा', 80.0, 48), ('बाजुरा', 80.0, 65)]	Bhojpur
104	रचना प्रा वि, भोजपुर	racanaa praa vi, bhojapura	भोजपुर	100	[('भोजपुर', 100.0, 18), ('बारा', 80.0, 48), ('बाजुरा', 80.0, 65)]	Bhojpur
105	जाल्पा प्राथमिक विधालय सानेदुम्मा भोजपुर	jaalpaa praathamika vidhaalaya saanedummaa bhojapura	भोजपुर	100	[('भोजपुर', 100.0, 18), ('बारा', 80.0, 48), ('बाजुरा', 80.0, 65)]	Bhojpur
106	कटका माध्यमिक विधालय याङपाङ भोजपुर	"ka.takaa maadhyamika vidhaalaya yaa""napaa""na bhojapura"	भोजपुर	100	[('भोजपुर', 100.0, 18), ('बारा', 80.0, 48), ('बाजुरा', 80.0, 65)]	Bhojpur
107	पारवती मा बि, तनहु	paaravatii maa bi, tanahu	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
108	ज्योति प्रा वि, भोजपुर	jyoti praa vi, bhojapura	भोजपुर	100	[('भोजपुर', 100.0, 18), ('बारा', 80.0, 48), ('बाजुरा', 80.0, 65)]	Bhojpur
109	सिंहदेवी माध्यमिक विधालय हलौछा भोजपुर ।	si.mhadevii maadhyamika vidhaalaya halauchaa bhojapura |	भोजपुर	100	[('भोजपुर', 100.0, 18), ('बारा', 80.0, 48), ('बाजुरा', 80.0, 65)]	Bhojpur
110	लक्ष्मी उ॰ माध्यमिक विधालय, थुमपोखरा स्याङजा	"lak.smii u॰ maadhyamika vidhaalaya, thumapokharaa syaa""najaa"	स्याङ्गजा	85.7142857142857	[('स्याङ्गजा', 85.71428571428572, 23), ('पर्सा', 75.0, 21)]	Syangja
111	आनन्द आधारभूत विद्यालय रातामाटे, मधुवन, बर्दिया	aananda aadhaarabhuuta vidyaalaya raataamaa.te, madhuvana, bardiyaa	बर्दिया	100	[('बर्दिया', 100.0, 13), ('बारा', 80.0, 48)]	Bardiya
112	जयनेपाल प्रा वि, तनहु	jayanepaala praa vi, tanahu	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
113	राष्ट्रिय आधारभूत विद्यालय, तनहुँ	raa.s.triya aadhaarabhuuta vidyaalaya, tanahuँ	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
114	शंकर माध्यमिक विद्यालय, तनहुँ	"""sa.mkara maadhyamika vidyaalaya, tanahuँ"	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
115	जनक माध्यमिक विद्यालय गैंडाकोट, व॰सु॰पूर्व नवलपरासी	janaka maadhyamika vidyaalaya gai.m.daako.ta, va॰su॰puurva navalaparaasii	पर्सा	100	[('पर्सा', 100.0, 21), ('पूर्व नवलपरासी', 100.0, 39), ('पश्चिम नवलपरासी', 81.4814814814815, 26)]	Parsa
116	सरस्वती आधारभूत विद्यालय भानु न॰पा, तनहुँ	sarasvatii aadhaarabhuuta vidyaalaya bhaanu na॰paa, tanahuँ	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
117	जिवनज्याेति आधारभूत विद्यालय, भरतपुर, चितवन	jivanajyaaeti aadhaarabhuuta vidyaalaya, bharatapura, citavana	चितवन	100	[('चितवन', 100.0, 62)]	Chitwan
118	दुर्गा शेषकान्त अधिकारी माध्यमिक विद्यालय, विजयनगर, चितवन	"durgaa ""se.sakaanta adhikaarii maadhyamika vidyaalaya, vijayanagara, citavana"	चितवन	100	[('चितवन', 100.0, 62)]	Chitwan
119	महेन्द्र ज्योती माध्यमिक विद्यालय तनहुँ	mahendra jyotii maadhyamika vidyaalaya tanahuँ	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
120	कृष्ण माध्यमिक विद्यालय घिरिङ, तनहुँ	"k.r.s.na maadhyamika vidyaalaya ghiri""na, tanahuँ"	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
121	गुदी फच्याङ आधारभूत विद्यालय, तनहुँ	"gudii phacyaa""na aadhaarabhuuta vidyaalaya, tanahuँ"	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
122	माहेन्द्री माध्यमिक विद्यालय व्यास, तनहुँ	maahendrii maadhyamika vidyaalaya vyaasa, tanahuँ	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
123	बाराही प्राथमिक विद्यालय ऋषिङ गा॰पा॰, तनहुँ	"baaraahii praathamika vidyaalaya .r.si""na gaa॰paa॰, tanahuँ"	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
124	दिपक मा बि, तनहु	dipaka maa bi, tanahu	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
125	कुस्मावती प्राथमिक विद्यालय तनहुँ	kusmaavatii praathamika vidyaalaya tanahuँ	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
126	कृष्ण गण्डकी प्राथमिक विद्यालय, बेलस्वाँरा, तनहुँ	k.r.s.na ga.n.dakii praathamika vidyaalaya, belasvaaँraa, tanahuँ	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
127	श्री आधारभूत विद्यालय सिसावास, पर्साबजार, चितवन	"""srii aadhaarabhuuta vidyaalaya sisaavaasa, parsaabajaara, citavana"	चितवन	100	[('चितवन', 100.0, 62)]	Chitwan
128	कालिगण्डकी प्रा वि	kaaliga.n.dakii praa vi	पूर्व नवलपरासी	90.9090909090909	[('पूर्व नवलपरासी', 90.9090909090909, 39), ('रुकुम पूर्व', 90.9090909090909, 40), ('पर्सा', 75.0, 21)]	Eastern Nawalparasi
129	अरनिको उ॰ माध्यमिक विधालय मिर्लुङ, तनहुँ	"araniko u॰ maadhyamika vidhaalaya mirlu""na, tanahuँ"	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
130	मुकुन्देश्वरी प्रा वि, तनहु	"mukunde""svarii praa vi, tanahu"	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
131	जनता प्राथमिक विधालय व्यास तनुहुँ	janataa praathamika vidhaalaya vyaasa tanuhuँ				
132	नवदुर्गा माध्यमिक विधालय रामपुर पाल्पा	navadurgaa maadhyamika vidhaalaya raamapura paalpaa	पाल्पा	100	[('पाल्पा', 100.0, 71), ('रोल्पा', 88.88888888888889, 30), ('डोल्पा', 88.88888888888889, 55)]	Palpa
133	चन्द्रज्योती मा बि, तनहु	candrajyotii maa bi, tanahu	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
134	चन्द्र ज्योती माध्यमिक विद्यालय, तनहुँ	candra jyotii maadhyamika vidyaalaya, tanahuँ	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
135	संगम माध्यमिक विद्यालय अन्पूर्ण गा॰पा, कास्की	sa.mgama maadhyamika vidyaalaya anpuur.na gaa॰paa, kaaskii	कास्की	100	[('कास्की', 100.0, 29), ('कालीकोट', 80.0, 32), ('बाँके', 75.0, 73)]	Kaski
136	पोखरी प्रा॰वि॰, इलाम	pokharii praa॰vi॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
137	आदर्श माध्यमिक विद्यालय, सानोठिमी, भक्तपुर	"aadar""sa maadhyamika vidyaalaya, saano.thimii, bhaktapura"	भक्तपुर	100	[('भक्तपुर', 100.0, 69), ('ललितपुर', 83.33333333333334, 3), ('बारा', 80.0, 48)]	Bhaktapur
138	बालमण्डल माध्यमिक विद्यालय, इलाम न॰पा॰, इलाम	baalama.n.dala maadhyamika vidyaalaya, ilaama na॰paa॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
139	श्री कालिका देवी प्राथमिक विद्यालय, आमचोक, रातमाटे।इलाम	"""srii kaalikaa devii praathamika vidyaalaya, aamacoka, raatamaa.te|ilaama"	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 80.0, 25), ('पर्वत', 75.0, 11)]	Ilam
140	सुभद्रा प्राथमिक विधालय फाकफोक इलाम	subhadraa praathamika vidhaalaya phaakaphoka ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 80.0, 25), ('कैलाली', 80.0, 75)]	Ilam
141	नवीनप्रगती प्रा॰वि॰, इलाम	naviinapragatii praa॰vi॰, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
142	जनशक्ति प्रा॰ वी॰, तनहु	"jana""sakti praa॰ vii॰, tanahu"	तनहुँ	100	[('तनहुँ', 100.0, 38)]	Tanahun
143	लक्ष्मि देवी प्राथमिक विद्यालय, आमचोक, इलाम	lak.smi devii praathamika vidyaalaya, aamacoka, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
144	महेन्द्रोदय आधारभूत विद्यालय, इलाम	mahendrodaya aadhaarabhuuta vidyaalaya, ilaama	इलाम	100	[('इलाम', 100.0, 1), ('गुल्मी', 85.71428571428572, 25)]	Ilam
