school_id_A,school_id_B,root_school_name_A,root_school_name_B,school_level_A,school_level_B,district_A,district_B,Fuzzy_match_score,Match_Type
5712,32500,indravati,indrawati,mavi,mavi,kavrepalanchok,kavrepalanchok,3.0,"District: complete, School level: complete, Root name: complete"
5713,33903,maha.nkali,mahakali,pravi,pravi,kavrepalanchok,kavrepalanchok,3.0,"District: complete, School level: complete, Root name: complete"
5721,52111,janapriya,jana pratigya,pravi,pravi,pyuthan,pyuthan,3.0,"District: complete, School level: complete, Root name: complete"
5723,52375,janata,janata,avi,avi,rolpa,rolpa,3.0,"District: complete, School level: complete, Root name: complete"
5724,5534,balahita,balhit,avi,avi,rolpa,rolpa,3.0,"District: complete, School level: complete, Root name: complete"
5735,7329,vasantapura,basantpur,mavi,mavi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
5736,31758,durgadevi,durga devi,avi,avi,ramechhap,ramechhap,3.0,"District: complete, School level: complete, Root name: complete"
5737,31765,durganadi,durganadi,avi,avi,ramechhap,ramechhap,3.0,"District: complete, School level: complete, Root name: complete"
5738,33150,kalika,kalika,avi,avi,ramechhap,ramechhap,3.0,"District: complete, School level: complete, Root name: complete"
5739,1317,bajramai,bajramai,mavi,mavi,dhankuta,dhankuta,3.0,"District: complete, School level: complete, Root name: complete"
5742,12189,jalapadevi,jalapadevi,avi,avi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5747,7413,bhagavati,bhagawati,pravi,pravi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
5751,14440,pa~nchakanya,pancha kanya,avi,avi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
5752,3155,amara,amar,mavi,mavi,makwanpur,makwanpur,3.0,"District: complete, School level: complete, Root name: complete"
5754,13049,kalika,kalika,mavi,mavi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5756,56279,tribhuvana,tribhuvan,mavi,mavi,banke,banke,3.0,"District: complete, School level: complete, Root name: complete"
5762,14322,nilagiri,nilgiri,mavi,mavi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5763,11502,durga,durga,mavi,mavi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5766,42597,maneva,manewa,avi,avi,baglung,baglung,3.0,"District: complete, School level: complete, Root name: complete"
5771,22761,ne ra,ne ra,avi,avi,parsa,parsa,3.0,"District: complete, School level: complete, Root name: complete"
5773,1133,janmajyoti,amar jyoti,pravi,pravi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
5776,33039,jyoti,jyoti,mavi,mavi,makwanpur,makwanpur,3.0,"District: complete, School level: complete, Root name: complete"
5780,41029,devisthana,devisthan,pravi,pravi,parbat,parbat,3.0,"District: complete, School level: complete, Root name: complete"
5783,33923,maha.nkala,mahankal,avi,avi,kavrepalanchok,kavrepalanchok,3.0,"District: complete, School level: complete, Root name: complete"
5787,43623,shanti,shanti,pravi,pravi,parbat,parbat,3.0,"District: complete, School level: complete, Root name: complete"
5789,11503,durga,durga,mavi,mavi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
5791,31642,dharani,dharani,pravi,pravi,kavrepalanchok,kavrepalanchok,3.0,"District: complete, School level: complete, Root name: complete"
5792,32636,janabhavana,jan bhawana,pravi,pravi,kavrepalanchok,kavrepalanchok,3.0,"District: complete, School level: complete, Root name: complete"
5795,73308,ranisthana,ranisthan,pravi,pravi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
5803,7181,vaijanatha vidya niketa,baijanath vidya niketan,avi,avi,kanchanpur,kanchanpur,3.0,"District: complete, School level: complete, Root name: complete"
5804,15887,shiva shakti,shivashakti,mavi,mavi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
5810,1529,barada.nda,bar danda,avi,avi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5811,1800,vidha arjana,bidhya arjan,mavi,mavi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
5812,16591,siddhakali,siddha kali,pravi,pravi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
5813,155,adarsha,adarsha,mavi,mavi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
5816,12039,hulu,hulu,mavi,mavi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
5817,1709,bhanujana,bhanu jana,mavi,mavi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5819,16592,siddhakalie,siddha kali,pravi,pravi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
5820,34494,nava jyoti,nawa jyoti,pravi,pravi,makwanpur,makwanpur,3.0,"District: complete, School level: complete, Root name: complete"
5827,775,amara shahida,amar shahid,avi,avi,kanchanpur,kanchanpur,3.0,"District: complete, School level: complete, Root name: complete"
