school_id_A,root_school_name_A,school_level_A,district_A,Fuzzy_match_score
221,annapurna,mavi,gorkha,
222,amarakalyana,mavi,ilam,
223,kapiya,mavi,chitwan,
224,ratnarajya,mavi,kathmandu,
226,birendra,mavi,nuwakot,
227,amrrita,avi,tanahun,
228,shantipura,mavi,ilam,
229,kailasha,pravi,ilam,
230,chanidaka,pravi,tanahun,
231,indradevi,nimavi,tanahun,
232,ra,pravi,chitwan,
233,kaligamga,mavi,baitadi,
234,arunodaya,avi,ilam,
235,balakesha,mavi,tanahun,
236,narayana,pravi,tanahun,
237,amara,pravi,tanahun,
238,bhimasuna,avi,ilam,
239,shivamai,mavi,ilam,
240,guru~nagaum,pravi,ilam,
241,kankai,mavi,ilam,
242,laligura.nsa,pravi,khotang,
243,kamala,pravi,tanahun,
244,krrishnalaya,avi,tanahun,
245,prabodha,mavi,ilam,
246,janajyoti,avi,khotang,
247,kamadhenu,mavi,kathmandu,
248,,avi,dhanusha,
249,gorkha kalika,avi,gorkha,
250,kalika,avi,kalikot,
251,parvati,avi,khotang,
253,adarsha shiksha,mavi,tanahun,
254,chanrdodaya,pravi,tanahun,
255,prrithvi,mavi,khotang,
256,mahendrodaya,mavi,khotang,
257,sarasvati,nimavi,khotang,
258,jana vikasa,pravi,khotang,
259,sarasvati khota~na,,khotang,
260,bauddha,avi,khotang,
261,deurali,mavi,khotang,
262,janata,mavi,siraha,
263,sarasvati,pravi,tanahun,
264,shanti,pravi,tanahun,
265,krrishna,mavi,tanahun,
266,jana kalyana,pravi,salyan,
267,ghataveshi,avi,gorkha,
268,shikhara jyoti,pravi,gorkha,
269,chandika,avi,gorkha,
270,amara,nimavi,tanahun,
271,shamkara,pravi,tanahun,
272,naya.n jyoti,pravi,tanahun,
273,jaladevi,mavi,tanahun,
274,pelu~na,pravi,khotang,
275,janata,mavi,khotang,
276,mahendra jyoti,mavi,tanahun,
277,chandi niketana,pravi,khotang,
278,sasu niketana,pravi,khotang,
279,nava jyoti,pravi,doti,
280,mahendra,mavi,tanahun,
281,jaladevi,avi,nawalparasi,
282,ratna jyoti,avi,tanahun,
283,vijaya,pravi,khotang,
284,janata,avi,siraha,
285,,nimavi,khotang,
286,rashtiya,pravi,saptari,
287,pashupati,pravi,tanahun,
288,chandrodaya,pravi,tanahun,
289,pa~nchakoshi,mavi,parbat,
290,sarasvati,nimavi,tanahun,
291,vishnu,nimavi,tanahun,
292,radha damodara j~nana jyoti samskrrita,mavi,syangja,
293,akala,avi,tanahun,
294,parvati,pravi,tanahun,
295,kalika,pravi,khotang,
296,jaya sarasvati,pravi,khotang,
297,hanumana prasada sharada,mavi,siraha,
298,gamga jamuna,pravi,khotang,
299,janata,pravi,siraha,
300,shri janata,avi,dhanusha,
301,bhagavati dinanatha,mavi,khotang,
302,adarsha,avi,morang,
303,mahendrodaya,mavi,khotang,
304,jaladevi,pravi,tanahun,
305,satyavati,pravi,tanahun,
308,shahidarghama,nimavi,tanahun,
309,krrishna,pravi,tanahun,
310,sitapaila,mavi,kathmandu,
311,sahajivana,pravi,tanahun,
312,shri shantishrrrijana,pravi,tanahun,
313,padama,avi,tanahun,
314,ravichandra,pravi,myagdi,
315,mahendra,mavi,tanahun,
316,shri jayaganapati,pravi,tanahun,
317,mina,mavi,tanahun,
318,kalika,mavi,kaski,
319,nava prabhata,mavi,kaski,
320,hamsavahini,mavi,tanahun,
321,shanti vidyagrriha,mavi,kathmandu,
322,kalika,mavi,tanahun,
323,samjhana,pravi,tanahun,
324,radha,mavi,tanahun,
325,janata,avi,tanahun,
326,janajyoti,avi,tanahun,
327,samgama,pravi,tanahun,
328,tilicho,avi,manang,
329,paruha~na sharana,pravi,khotang,
330,shri janata,pravi,khotang,
331,udaya,mavi,tanahun,
332,pa~nchakanya,mavi,makwanpur,
333,jalapadevi,pravi,makwanpur,
334,vijaya,nimavi,dolakha,
335,vedakalika,pravi,tanahun,
336,krrishnagamga,nimavi,tanahun,
337,kamadhenu,avi,kathmandu,
338,bramha,avi,nawalparasi,
339,naga,pravi,tanahun,
340,kamaghenu,nimavi,tanahun,
341,jayadurga,mavi,tanahun,
342,sharada,pravi,tanahun,
343,himalaya,mavi,tanahun,
344,jana jagrriti gamga,mavi,tanahun,
345,siddheshvari,mavi,tanahun,
346,sarasvati sadana,mavi,tanahun,
347,udaya,mavi,tanahun,
348,annapurna sitapokhari,avi,kaski,
349,masya~nadi samudayika,avi,tanahun,
350,narayani,nimavi,tanahun,
351,homarajalohani,mavi,tanahun,
352,naya jyoti,pravi,tanahun,
353,adarsha sarasvati,mavi,tanahun,
354,vindhyavasini,mavi,kaski,
355,bhimanagara,mavi,chitwan,
356,bachauli,mavi,chitwan,
357,bha.ngeri,avi,tanahun,
358,purkota,pravi,tanahun,
359,amara jyoti,avi,tanahun,
360,himalaya,mavi,gorkha,
361,vishvajvati,pravi,tanahun,
362,kyamina,mavi,tanahun,
363,gu~njanagara,mavi,chitwan,
364,sharada,mavi,bhaktapur,
365,mahadebata,pravi,tanahun,
366,buchakhani,nimavi,tanahun,
367,shukra,avi,tanahun,
368,siddha,avi,tanahun,
369,kalika,pravi,tanahun,
