school_id_A,school_id_B,root_school_name_A,root_school_name_B,school_level_A,school_level_B,district_A,district_B,Fuzzy_match_score,Match_Type
1,12428,janapriya,jana priya,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
2,11142,chenakhama,chhenkhama,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
3,11716,gograha,gograha,mavi,mavi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
4,62967,shri shamkara,shiv shankar,mavi,mavi,tanahun,jajarkot,2.5,"District: no match, School level: complete, Root name: complete"
5,12346,janajagrriti,jana jagriti,mavi,mavi,tanahun,solukhumbu,2.5,"District: no match, School level: complete, Root name: complete"
6,1108,da~nasi~najare,aitabare,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
