school_id,school,school_1,School_level,School_name,Location,Matched_district
19,"वीरेन्द्र आदर्श माध्यमिक विद्यालय, वीरेन्द्रनगर चितवन",वीरेन्द्र आदर्श मावि वीरेन्द्रनगर चितवन,मावि,वीरेन्द्र आदर्श,वीरेन्द्रनगर चितवन,चितवन
20,"चण्डेश्वर माध्यमिक विद्यालय, बालंखा, भोजपुर",चण्डेश्वर मावि बालंखा भोजपुर,मावि,चण्डेश्वर,बालंखा भोजपुर,भोजपुर
21,पञ्चकन्या माध्यमिक विद्यालय भोजपुर,पञ्चकन्या मावि भोजपुर,मावि,पञ्चकन्या,भोजपुर,भोजपुर
22,"छिन्ताङ देवी आधारभूत विद्यालय, भोजपुर",छिन्ताङ देवी आवि भोजपुर,आवि,छिन्ताङ देवी,भोजपुर,भोजपुर
23,"भिमेश्वरी आधारभूत विद्यालय, भोजपुर",भिमेश्वरी आवि भोजपुर,आवि,भिमेश्वरी,भोजपुर,भोजपुर
24,सरस्वती प्राथमिक विधालय टक्सार भोजपुर,सरस्वती प्रावि टक्सार भोजपुर,प्रावि,सरस्वती,टक्सार भोजपुर,भोजपुर
25,"जनज्योती प्रा वि, तनहु",जनज्योती प्रावि तनहुँ,प्रावि,जनज्योती,तनहुँ,तनहुँ
26,"क्यामिनकोट माध्यमिक विद्यालय, तनहूँ",क्यामिनकोट मावि तनहुँ,मावि,क्यामिनकोट,तनहुँ,तनहुँ
27,"भवानी प्राथमिक विद्यालय, व्यास, तनहूँ",भवानी प्रावि व्यास तनहुँ,प्रावि,भवानी,व्यास तनहुँ,तनहुँ
28,"सिद्धेश्वर आधारभूत विद्यालय, गोदावरी, ललितपुर",सिद्धेश्वर आवि गोदावरी ललितपुर,आवि,सिद्धेश्वर,गोदावरी ललितपुर,ललितपुर
29,चण्डी आधारभूत विद्यालय भोजपुर,चण्डी आवि भोजपुर,आवि,चण्डी,भोजपुर,भोजपुर
30,"जालपा आधारभूत विद्यालय -याङ थर्पू, भोजपुर",जालपा आवि याङ थर्पू भोजपुर,आवि,जालपा,याङ थर्पू भोजपुर,भोजपुर
31,"शितलादेवी प्रा वि, भोजपुर",शितलादेवी प्रावि भोजपुर,प्रावि,शितलादेवी,भोजपुर,भोजपुर
32,"सिंह बाहिनी प्राथमिक विद्यालय भोजपुर न॰पा॰, भोजपुर",सिंह बाहिनी प्रावि भोजपुर न पा भोजपुर,प्रावि,सिंह बाहिनी,भोजपुर न पा भोजपुर,भोजपुर
33,"जागृती मा॰वि, भक्तपुर",जागृती मावि भक्तपुर,मावि,जागृती,भक्तपुर,भक्तपुर
34,"निर्मल प्रा वि, तनहु",निर्मल प्रावि तनहुँ,प्रावि,निर्मल,तनहुँ,तनहुँ
35,"अन्नपूर्ण प्राथमिक विद्यालय, तनहुँ",अन्नपूर्ण प्रावि तनहुँँ,प्रावि,अन्नपूर्ण,तनहुँँ,तनहुँ
36,सिंह जलेश्वरी निम्न माध्यमिक विधालय तिवारीभञ्ज्याङ भोजपुर,सिंह जलेश्वरी निमावि तिवारीभञ्ज्याङ भोजपुर,निमावि,सिंह जलेश्वरी,तिवारीभञ्ज्याङ भोजपुर,भोजपुर
37,"साङ्गरुम्बा उ॰ माध्यमिक विधालय, साङ्गरुम्बा -३ इलाम",साङ्गरुम्बा मावि साङ्गरुम्बा इलाम,मावि,साङ्गरुम्बा,साङ्गरुम्बा इलाम,इलाम
38,"जीवनज्योति माध्यमिक विद्यालय, इलाम",जीवनज्योति मावि इलाम,मावि,जीवनज्योति,इलाम,इलाम
39,"सितला देवी प्रा॰वि॰ तिवारी भञ्जाङ, भोजपुर",सितला देवी प्रावि तिवारी भञ्जाङ भोजपुर,प्रावि,सितला देवी,तिवारी भञ्जाङ भोजपुर,भोजपुर
40,"सिंहदेवी आधारभूत विद्यालय, इलाम",सिंहदेवी आवि इलाम,आवि,सिंहदेवी,इलाम,इलाम
41,"विजया आधारभूत विद्यालय आमचोक, इलाम",विजया आवि आमचोक इलाम,आवि,विजया,आमचोक इलाम,इलाम
42,कालिका माध्यमिक विधालय हेलौछा भोजपुर,कालिका मावि हेलौछा भोजपुर,मावि,कालिका,हेलौछा भोजपुर,भोजपुर
43,"आधारभूत विद्यालय कट्टीटोल, लगडी गदियानी, सिरहा",आवि कट्टीटोल लगडी गदियानी सिरहा,आवि,,कट्टीटोल लगडी गदियानी सिरहा,कालीकोट
44,"झारगाउ प्रा वि, तनहु",झारगाउ प्रावि तनहुँ,प्रावि,झारगाउ,तनहुँ,तनहुँ
45,"ज्योति प्रा॰वि, भोजपुर",ज्योति प्रावि भोजपुर,प्रावि,ज्योति,भोजपुर,भोजपुर
46,ज्याति प्राथमिक विधालय ठुलोदम्मा भोजपुर,ज्याति प्रावि ठुलोदम्मा भोजपुर,प्रावि,ज्याति,ठुलोदम्मा भोजपुर,भोजपुर
47,"तिम्मा प्रा॰वि, भोजपुर",तिम्मा प्रावि भोजपुर,प्रावि,तिम्मा,भोजपुर,भोजपुर
48,"पन्च कन्या प्राथमिक विधालय भलजिते, टक्सार-९",पन्च कन्या प्रावि भलजिते टक्सार,प्रावि,पन्च कन्या,भलजिते टक्सार,कास्की
49,"पञ्चकन्या आधारभूत विद्यालय, याकु कट्टी, भोजपुर",पञ्चकन्या आवि याकु कट्टी भोजपुर,आवि,पञ्चकन्या,याकु कट्टी भोजपुर,भोजपुर
50,"वाणी माध्यमिक विद्यालय, सिधराहा, मोरङ",वाणी मावि सिधराहा मोरङ,मावि,वाणी,सिधराहा मोरङ,मोरङ
51,"छिम्केश्वरी प्रा बि, तनहु",छिम्केश्वरी प्रावि तनहुँ,प्रावि,छिम्केश्वरी,तनहुँ,तनहुँ
52,"छिम्केश्वरी नि मा वि, तनहु",छिम्केश्वरी निमावि तनहुँ,निमावि,छिम्केश्वरी,तनहुँ,तनहुँ
53,"राष्टि्य निम्न माध्यमिक विधालय सोयाङ, इलाम",राष्टि्य निमावि सोयाङ इलाम,निमावि,राष्टि्य,सोयाङ इलाम,इलाम
54,"किरांतेश्वर प्रा॰वि॰, इलाम",किरांतेश्वर प्रावि इलाम,प्रावि,किरांतेश्वर,इलाम,इलाम
55,"जलकन्या आधारभूत विद्यालय, फाकफोकथुम गा॰पा॰, इलाम",जलकन्या आवि फाकफोकथुम गा पा इलाम,आवि,जलकन्या,फाकफोकथुम गा पा इलाम,इलाम
