school_id_A,school_id_B,root_school_name_A,root_school_name_B,school_level_A,school_level_B,district_A,district_B,Fuzzy_match_score,Match_Type
341,41991,jayadurga,jaya durga,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
342,43648,sharada,sharada,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
343,41514,himalaya,himalaya,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
344,41846,jana jagrriti gamga,janajagriti ganga,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
352,41720,naya jyoti,jana jyoti,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
353,43752,adarsha sarasvati,shree adarsha saraswati,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
354,4657,vindhyavasini,bindyabasini,mavi,mavi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
355,33805,bhimanagara,brahmanagar,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
356,3337,bachauli,bachhauli,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
357,4508,bha.ngeri,bhangeri,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
359,466,amara jyoti,amar jyoti,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
360,41510,himalaya,himalaya,mavi,mavi,gorkha,gorkha,3.0,"District: complete, School level: complete, Root name: complete"
364,35670,sharada,sarada,mavi,mavi,bhaktapur,bhaktapur,3.0,"District: complete, School level: complete, Root name: complete"
367,44147,shukra,shukla,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
368,44171,siddha,siddha,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
369,42112,kalika,kalika,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
370,41057,dharma,dharma,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
372,4489,bhairava,bhairab,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
373,41687,janajagrriti,jana jagriti,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
375,43549,satyavati,satyawati,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
376,7552,bhavani rashtriya,bhawani rastriya,mavi,mavi,kailali,kailali,3.0,"District: complete, School level: complete, Root name: complete"
377,41237,galkota,galkot,mavi,mavi,syangja,syangja,3.0,"District: complete, School level: complete, Root name: complete"
378,4398,barahi,barahi,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
380,43448,sarasvati,saraswati,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
383,42907,nirmala,nirmal,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
384,4806,chandi devi,chandi devi,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
386,43577,shahida gamga,shahid ganga,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
387,4529,bhashkara,bhaskar,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
393,4875,chabdi varahi,chhabdi barahi,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
394,41910,janasevika,janasewika,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
397,42508,mahendrajyoti,mahendra jyoti,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
398,43235,rashtriya,rastriya,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
399,4172,aruna,arun,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
401,41795,janapriya,jana priya,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
403,4412,vasanta,basanta,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
404,41464,harpanakota,harpankot,mavi,mavi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
405,4990,deurali,deurali,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
407,42113,balika,kalika,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
411,4744,buddha,buddha,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
413,42082,kalika,kalika,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
414,43202,rameshvari,rameshwori,mavi,mavi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
