school_id_A,school_id_B,school_A,school_name_B,school_name_A,extracted_district_A,district_id_B,district_B,province_id_B,province_B,local_level_id_B,location_B,local_level_B
10768,15399,सरस्वती निम्न माध्यमिक विधालय केउरेनीपानी भोजपुर,Saraswati Aavi,सरस्वती निमावि,भोजपुर,1,Bhojpur,1,Koshi,101,Bumlingtar,Salpasilichho Rural Municipality
18980,15399,"सरस्वती माध्यमिक विद्यालय आमचोक, भोजपुर",Saraswati Aavi,सरस्वती मावि,भोजपुर,1,Bhojpur,1,Koshi,101,Bumlingtar,Salpasilichho Rural Municipality
18983,15399,सरस्वती निम्न माध्यमिक विधालय पोखरे भोजपुर,Saraswati Aavi,सरस्वती निमावि,भोजपुर,1,Bhojpur,1,Koshi,101,Bumlingtar,Salpasilichho Rural Municipality
19019,15399,"सरस्वती माध्यमिक विद्यालय, साङपाङ्ग भोजपुर",Saraswati Aavi,सरस्वती मावि,भोजपुर,1,Bhojpur,1,Koshi,101,Bumlingtar,Salpasilichho Rural Municipality
9529,31893,"गणेश उ॰ माध्यमिक विधालय, काठमाडौं",Ganesh Adhar V,गणेश मावि,काठमाडौं,23,Kathmandu,3,Bagamati,330,Bhanjyang,Dakshinkali Municipality
9535,31893,"गणेश माध्यमिक विद्यालय, गणेशचोक, चपली, काठमाडौ",Ganesh Adhar V,गणेश मावि,काठमाडौ,23,Kathmandu,3,Bagamati,330,Bhanjyang,Dakshinkali Municipality
14755,31893,"गणेश माध्यमिक विधालय, काठमाडौं",Ganesh Adhar V,गणेश मावि,काठमाडौं,23,Kathmandu,3,Bagamati,330,Bhanjyang,Dakshinkali Municipality
9533,55384,"श्री दीपेन्द्र निम्न माध्यमिक विधालय, अग्यौली",Shree Dipendra Basic School,श्री दीपेन्द्र निमावि,अग्यौली,51,Gulmi,5,Lumbini,228,Phoksing,Kaligandaki Rural Municipality
9534,15176,"सगरमाथा जनता माध्यमिक विद्यालय, ओखलढुंगा",Sagarmatha Janata Secondary School,सगरमाथा जनता मावि,ओखलढुंगा,7,Okhaldhunga,1,Koshi,485,Okhaldhunga,Siddhicharan Municipality
9542,12616,"जनपथ माध्यमिक विद्यालय, जनपथटोल, मोरङ",Janata Adharbhut Bidyalaya,जनपथ मावि,मोरङ,6,Morang,1,Koshi,409,Gramthan,Gramthan Rural Municipality
9550,54155,नित्यानन्द रत्न कुमारी उ॰ माध्यमिक विधालय जहदा नवलपरासी,Nityananda Ratna Kumari Secondary School,नित्यानन्द रत्न कुमारी मावि,नवलपरासी,48,Nawalparasi,5,Lumbini,438,Bardaghat,Bardaghat Municipality
20688,54155,"नित्यानन्द रत्नकुमारी माध्यमिक विद्यालय, व॰सु॰पश्चिम नवलपरासी",Nityananda Ratna Kumari Secondary School,नित्यानन्द रत्नकुमारी मावि,नवलपरासी,48,Nawalparasi,5,Lumbini,438,Bardaghat,Bardaghat Municipality
9559,11412,"दिम्बा प्राथमिक विधालय खिजीफलाटे-९, ओखलढुंगा",Dimba Basic School,दिम्बा प्रावि,ओखलढुंगा,7,Okhaldhunga,1,Koshi,481,Bhitte,Khijidemba Rural Municipality
9560,15844,शिशु शिक्षा विकास माध्यमिक विधालय सिन्द्राङग -१ भोजपुर,Shishu Shiksha Bikas Mav,शिशु शिक्षा विकास मावि,भोजपुर,1,Bhojpur,1,Koshi,98,Thulunggaun,Hatuwagadhi Rural Municipality
9724,15844,"शिशुशिक्षा विकास नि मा वि, भोजपुर",Shishu Shiksha Bikas Mav,शिशुशिक्षा विकास निमावि,भोजपुर,1,Bhojpur,1,Koshi,98,Thulunggaun,Hatuwagadhi Rural Municipality
9572,1644,"भगवती प्रा वि, भोजपुर",Bhagawati Basic School,भगवती प्रावि,भोजपुर,1,Bhojpur,1,Koshi,95,Majhakhani,Aamchowk Rural Municipality
22884,1644,भगवती माध्यमिक विधालय मुलपानी भोजपुर,Bhagawati Basic School,भगवती मावि,भोजपुर,1,Bhojpur,1,Koshi,95,Majhakhani,Aamchowk Rural Municipality
27767,1644,"भगवती माध्यमिक विद्यालय, षडानन्द, भोजपुर",Bhagawati Basic School,भगवती मावि,भोजपुर,1,Bhojpur,1,Koshi,95,Majhakhani,Aamchowk Rural Municipality
9574,12135,"जलकन्या प्राथमिक विद्यालय, भोजपुर",Jal Kanya Basic School,जलकन्या प्रावि,भोजपुर,1,Bhojpur,1,Koshi,95,Benahang,Aamchowk Rural Municipality
19020,12135,"जलकन्या प्रा वि, भोजपुर",Jal Kanya Basic School,जलकन्या प्रावि,भोजपुर,1,Bhojpur,1,Koshi,95,Benahang,Aamchowk Rural Municipality
9577,1916,"बुद्ध प्रा॰ वि॰, ओखलढुगा",Bouddha Basic School,बुद्ध प्रावि,ओखलढुगा,7,Okhaldhunga,1,Koshi,480,Thuldhunga,Chisankhugadhi Rural Municipality
9586,14944,"रक्तमाला प्रा वि, भोजपुर",Raktamala Basic School,रक्तमाला प्रावि,भोजपुर,1,Bhojpur,1,Koshi,95,Shabuk,Aamchowk Rural Municipality
29582,14944,"रक्तमाला प्राथमिक विद्यालय, आमचोक, भोजपुर",Raktamala Basic School,रक्तमाला प्रावि,भोजपुर,1,Bhojpur,1,Koshi,95,Shabuk,Aamchowk Rural Municipality
9587,14843,"पृथ्वीजय प्रा वि, भोजपुर",Prithvi Jaya Basic School,पृथ्वीजय प्रावि,भोजपुर,1,Bhojpur,1,Koshi,95,Tummadanda,Aamchowk Rural Municipality
9591,12201,"जलेश्वरी प्रा वि, भोजपुर",Jaleshwori Basic School,जलेश्वरी प्रावि,भोजपुर,1,Bhojpur,1,Koshi,100,Gadgaun,Ramprasad Rai Rural Municipality
9610,11055,"चंचलादेवी प्रा॰ वि॰, ओखलढुगा",Chanchaladevi Basic School,चंचलादेवी प्रावि,ओखलढुगा,7,Okhaldhunga,1,Koshi,485,Khodampa,Siddhicharan Municipality
9612,12448,"जनआर्दश प्रा॰ वि॰, ओखलढुगा",Janaadarsha Basic School,जनआर्दश प्रावि,ओखलढुगा,7,Okhaldhunga,1,Koshi,485,Sarsepu,Siddhicharan Municipality
9617,37682,"विद्या मन्दिर माध्यमिक विद्यालय, काठमाडौंं",Vidhya Mandir Secondary School,विद्या मन्दिर मावि,काठमाडौंं,23,Kathmandu,3,Bagamati,329,Chandragiri Municipality,Chandragiri Municipality
27267,37682,"बिद्या मन्दीर नि॰मा॰वि॰, काठमाडौं",Vidhya Mandir Secondary School,विद्या मन्दीर निमावि,काठमाडौं,23,Kathmandu,3,Bagamati,329,Chandragiri Municipality,Chandragiri Municipality
9628,13713,महेन्द्रोदय माध्यमिक विधालय देउराली भोजपुर,Mahendra Basic School,महेन्द्रोदय मावि,भोजपुर,1,Bhojpur,1,Koshi,103,Khawa Cholanti,Temkemaiyung Rural Municipality
9629,13713,महेन्द्रोदय माध्यमिक विद्यालय जरायोटार भोजपुर,Mahendra Basic School,महेन्द्रोदय मावि,भोजपुर,1,Bhojpur,1,Koshi,103,Khawa Cholanti,Temkemaiyung Rural Municipality
9994,13713,महेन्द्रदय माध्यमिक विधालय वोया भोजपुर,Mahendra Basic School,महेन्द्रदय मावि,भोजपुर,1,Bhojpur,1,Koshi,103,Khawa Cholanti,Temkemaiyung Rural Municipality
18995,13713,"महेन्द्रोदय माध्यमिक विद्यालय, भोजपुर",Mahendra Basic School,महेन्द्रोदय मावि,भोजपुर,1,Bhojpur,1,Koshi,103,Khawa Cholanti,Temkemaiyung Rural Municipality
27577,13713,"महेन्द्रोदय माध्यमिक विद्यालय फाली मोहोरिया, षडानन्द न॰पा॰, भोजपुर",Mahendra Basic School,महेन्द्रोदय मावि,भोजपुर,1,Bhojpur,1,Koshi,103,Khawa Cholanti,Temkemaiyung Rural Municipality
9630,17421,यशोधरा माध्यमिक विद्यालय टक्सार भोजपुर,Yashodhara Basic School,यशोधरा मावि,भोजपुर,1,Bhojpur,1,Koshi,102,Shadananda,Shadananda Municipality
27059,17421,"यशोधरा प्रा वि, भोजपुर",Yashodhara Basic School,यशोधरा प्रावि,भोजपुर,1,Bhojpur,1,Koshi,102,Shadananda,Shadananda Municipality
9631,51155,"दाउन्नेदेवी माध्यमिक विद्यालय, बर्दघाट, नवलपरासी",Daunne Devi Primary School,दाउन्नेदेवी मावि,नवलपरासी,48,Nawalparasi,5,Lumbini,438,Buddhabasti,Bardaghat Municipality
9702,51155,"दाउन्नेदेबी उ॰ माध्यमिक विधालय, नवलपरासी",Daunne Devi Primary School,दाउन्नेदेबी मावि,नवलपरासी,48,Nawalparasi,5,Lumbini,438,Buddhabasti,Bardaghat Municipality
