school_id_A,school_id_B,root_school_name_A,root_school_old_name2_B,school_level_A,school_level_old_name2_B,district_A,district_B,Fuzzy_match_score,Match_Type
13105,71103,durga,durga,mavi,mavi,bajhang,bajhang,3.0,"District: complete, School level: complete, Root name: complete"
13107,63362,devi,devi,mavi,mavi,dailekh,dailekh,3.0,"District: complete, School level: complete, Root name: complete"
13128,44046,rashtriya,rastriya,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
13149,15547,sarasvati,saraswati,pravi,pravi,dhankuta,dhankuta,3.0,"District: complete, School level: complete, Root name: complete"
13156,63306,pa~nchakoshi jvala,pancha koshi jwala,mavi,mavi,dailekh,dailekh,3.0,"District: complete, School level: complete, Root name: complete"
13196,12420,janapremi,jana premi,mavi,mavi,udayapur,udayapur,3.0,"District: complete, School level: complete, Root name: complete"
13198,62220,ne ra,nera,pravi,pravi,dailekh,dailekh,3.0,"District: complete, School level: complete, Root name: complete"
13221,63325,putali,putali,pravi,pravi,jajarkot,jajarkot,3.0,"District: complete, School level: complete, Root name: complete"
13302,16141,janata,janata,mavi,mavi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
13313,24421,kanya,kanya,pravi,pravi,parsa,parsa,3.0,"District: complete, School level: complete, Root name: complete"
13562,55401,ganapati,ganapati,mavi,mavi,palpa,palpa,3.0,"District: complete, School level: complete, Root name: complete"
13655,36085,shikhara besi,shikharbesi,pravi,pravi,nuwakot,nuwakot,3.0,"District: complete, School level: complete, Root name: complete"
13952,15548,sarasvati,saraswati,pravi,pravi,dhankuta,dhankuta,3.0,"District: complete, School level: complete, Root name: complete"
13973,63178,kalika,kalika,mavi,mavi,mugu,mugu,3.0,"District: complete, School level: complete, Root name: complete"
14001,6739,dipa srrijana,dip srijana,pravi,pravi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
14126,36296,bhanu,bhanu,nimavi,nimavi,sindhuli,sindhuli,3.0,"District: complete, School level: complete, Root name: complete"
14220,15912,adarsha,adarsha,mavi,mavi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
14243,11936,hima,him,mavi,mavi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
14308,16437,shiva,shiva,pravi,pravi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
14321,15789,sharada,sharada,mavi,mavi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
14364,54974,sarasvati,saraswati,mavi,mavi,pyuthan,pyuthan,3.0,"District: complete, School level: complete, Root name: complete"
14436,63188,krrishna,krishna,mavi,mavi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
14503,24192,shri mahendra,shree mahendra,mavi,mavi,saptari,saptari,3.0,"District: complete, School level: complete, Root name: complete"
14527,52345,janata,janata,nimavi,nimavi,bardiya,bardiya,3.0,"District: complete, School level: complete, Root name: complete"
14607,24337,janata,janata,nimavi,nimavi,saptari,saptari,3.0,"District: complete, School level: complete, Root name: complete"
14742,21502,janata rashtriya,janata rastriya,avi,avi,mahottari,mahottari,3.0,"District: complete, School level: complete, Root name: complete"
14842,21405,janata,janata,mavi,mavi,dhanusha,dhanusha,3.0,"District: complete, School level: complete, Root name: complete"
14950,63148,janata,janta,mavi,mavi,jajarkot,jajarkot,3.0,"District: complete, School level: complete, Root name: complete"
14971,52179,janahita,janahit,pravi,pravi,rupandehi,rupandehi,3.0,"District: complete, School level: complete, Root name: complete"
15192,13251,koshi,koshi,mavi,mavi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
15239,74455,suryadaya,suryodaya,pravi,pravi,bajura,bajura,3.0,"District: complete, School level: complete, Root name: complete"
15464,24241,,,avi,avi,sarlahi,sarlahi,3.0,"District: complete, School level: complete, Root name: complete"
15508,13869,manokamana,manakamana,pravi,pravi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
15518,55485,janashakti,jana shakti,pravi,pravi,rupandehi,rupandehi,3.0,"District: complete, School level: complete, Root name: complete"
15574,35737,sarasvati,saraswati,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
15583,73244,purnagiri,purna giri,pravi,pravi,dadeldhura,dadeldhura,3.0,"District: complete, School level: complete, Root name: complete"
15731,21418,janata,janata,mavi,mavi,bara,bara,3.0,"District: complete, School level: complete, Root name: complete"
15800,23982,sarasvati,saraswati,mavi,mavi,mahottari,mahottari,3.0,"District: complete, School level: complete, Root name: complete"
15844,24289,durga,durga,avi,avi,saptari,saptari,3.0,"District: complete, School level: complete, Root name: complete"
15926,43941,kalleri,kalleri,avi,avi,gorkha,gorkha,3.0,"District: complete, School level: complete, Root name: complete"
16112,24683,rajeshvari,rajeshwari,avi,avi,saptari,saptari,3.0,"District: complete, School level: complete, Root name: complete"
16151,22655,narayana,narayan,mavi,mavi,sarlahi,sarlahi,3.0,"District: complete, School level: complete, Root name: complete"
16176,24249,baudhi devi,baudhi devi,mavi,mavi,sarlahi,sarlahi,3.0,"District: complete, School level: complete, Root name: complete"
16394,23753,rashtiya,rastriya,pravi,pravi,siraha,siraha,3.0,"District: complete, School level: complete, Root name: complete"
16422,63109,himalaya,himalaya u,mavi,mavi,dailekh,dailekh,3.0,"District: complete, School level: complete, Root name: complete"
16444,24166,shivana phuniya devi janata,sivan funiya devi janta,mavi,mavi,sarlahi,sarlahi,3.0,"District: complete, School level: complete, Root name: complete"
16467,16151,jitapura,jitpur,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
16641,7387,bhagavati,bhagawati,pravi,pravi,bajura,bajura,3.0,"District: complete, School level: complete, Root name: complete"
16694,24256,bhojabhagata,bhojbhagat,mavi,mavi,bara,bara,3.0,"District: complete, School level: complete, Root name: complete"
16761,24876,yadava,yadav,mavi,mavi,dhanusha,dhanusha,3.0,"District: complete, School level: complete, Root name: complete"
16900,24377,janata,janata,mavi,mavi,bara,bara,3.0,"District: complete, School level: complete, Root name: complete"
16948,24815,brahamapuri,brahmapur,mavi,mavi,rautahat,rautahat,3.0,"District: complete, School level: complete, Root name: complete"
16986,63209,mahadeva,mahadev,mavi,mavi,kalikot,kalikot,3.0,"District: complete, School level: complete, Root name: complete"
16997,44032,purkota,purkot,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
17227,7979,devi sthala,devisthala,pravi,pravi,achham,achham,3.0,"District: complete, School level: complete, Root name: complete"
17299,73086,pa~ncha jyoti,panchajyoti,nimavi,nimavi,achham,achham,3.0,"District: complete, School level: complete, Root name: complete"
17355,74303,siddhiganesha,siddhi ganesh,pravi,pravi,achham,achham,3.0,"District: complete, School level: complete, Root name: complete"
17412,63121,janajyoti,jana jyoti,avi,avi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
17415,73918,bhagavati,bhagawati,nimavi,nimavi,achham,achham,3.0,"District: complete, School level: complete, Root name: complete"
17423,72975,navadurga,nawadurga,mavi,mavi,achham,achham,3.0,"District: complete, School level: complete, Root name: complete"
17686,63159,jivana jyoti,jivan jyoti,mavi,mavi,surkhet,surkhet,3.0,"District: complete, School level: complete, Root name: complete"
17789,35326,ramachandra bha~njya~nga,ram chandra bhanjyang,pravi,pravi,makwanpur,makwanpur,3.0,"District: complete, School level: complete, Root name: complete"
17807,74137,sarasvati,saraswati,mavi,mavi,kailali,kailali,3.0,"District: complete, School level: complete, Root name: complete"
17860,13857,mamgaladevi,mangaladevi,mavi,mavi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
17876,16515,triveni,triveni,mavi,mavi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
17980,21349,janata,janata,mavi,mavi,rautahat,rautahat,3.0,"District: complete, School level: complete, Root name: complete"
18008,12873,jorasalla,jor salla,pravi,pravi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
18015,63404,tharpu,tharpu,mavi,mavi,jajarkot,jajarkot,3.0,"District: complete, School level: complete, Root name: complete"
18073,15706,shahida shukraraja,shahid sukraraj,nimavi,nimavi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
18118,13196,kheti,kheti,pravi,pravi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
18305,15307,samkalpa,sankalpa,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
18499,61730,kupindeshvari,kupindeshwari,pravi,pravi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
18502,6166,bala sarasvati,bal saraswati,pravi,pravi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
18520,62744,sarasvati,saraswati,pravi,pravi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
18764,44026,prabhata,prabhat,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
18791,3510,balakumari,bal kumari,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
18814,36460,janapriya,jana priya,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
18912,32493,indra jyoti,indrajyoti,pravi,pravi,sindhuli,sindhuli,3.0,"District: complete, School level: complete, Root name: complete"
19152,11091,chandrasurya,chandra surya,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
